Datetime,Open,High,Low,Close,Volume
2025-07-07 00:00:00,3328.6850,3329.4950,3305.7650,3310.7550,5.6745
2025-07-07 04:00:00,3310.7850,3315.0750,3300.4350,3302.0350,4.7376
2025-07-07 08:00:00,3301.9980,3312.6250,3296.1950,3301.7150,6.2099
2025-07-07 12:00:00,3301.6350,3321.8250,3300.3150,3320.6650,6.8215
2025-07-07 16:00:00,3320.6350,3340.2890,3319.9450,3336.9250,19.7002
2025-07-07 20:00:00,3337.0450,3345.5480,3333.5980,3334.3980,2.4567
2025-07-08 00:00:00,3334.3980,3337.8350,3329.3280,3331.2650,6.4331
2025-07-08 04:00:00,3331.2850,3339.2850,3327.1150,3333.7650,4.0497
2025-07-08 08:00:00,3333.7250,3333.7250,3319.7150,3324.8650,3.4316
2025-07-08 12:00:00,3324.9050,3329.6480,3286.9050,3298.0350,11.9025
2025-07-08 16:00:00,3298.0350,3310.1990,3295.6850,3302.7180,9.6244
2025-07-08 20:00:00,3302.6450,3303.9050,3296.9650,3301.9950,2.0602
2025-07-09 00:00:00,3302.0050,3307.7250,3284.6380,3293.0750,4.8260
2025-07-09 04:00:00,3293.0750,3297.5480,3285.4150,3291.6650,4.7797
2025-07-09 08:00:00,3291.6450,3295.7950,3282.4250,3284.6980,3.3329
2025-07-09 12:00:00,3284.6980,3312.7750,3284.6980,3309.4350,12.0878
2025-07-09 16:00:00,3309.4050,3316.5980,3307.5750,3315.4650,8.8263
2025-07-09 20:00:00,3315.5450,3320.9550,3311.3480,3317.4250,2.2764
2025-07-10 00:00:00,3317.4450,3326.0850,3315.3380,3315.5450,6.4658
2025-07-10 04:00:00,3315.5390,3329.2850,3314.6550,3320.8980,3.8105
2025-07-10 08:00:00,3320.8980,3330.0850,3318.0850,3320.2550,3.8917
2025-07-10 12:00:00,3320.2850,3329.2480,3309.9050,3319.4550,7.0681
2025-07-10 16:00:00,3319.4950,3325.7950,3311.9750,3324.7250,8.4675
2025-07-10 20:00:00,3324.7190,3326.1980,3321.5850,3323.5550,1.5767
2025-07-11 00:00:00,3323.5050,3335.9750,3323.3450,3333.4980,7.1704
2025-07-11 04:00:00,3333.4250,3343.4750,3329.3250,3341.6650,5.9891
2025-07-11 08:00:00,3341.6850,3349.9580,3332.6180,3347.1750,6.5042
2025-07-11 12:00:00,3347.1750,3368.5590,3343.8650,3358.6690,13.7542
2025-07-11 16:00:00,3358.5490,3359.5490,3348.9650,3356.2750,12.8826
2025-07-11 20:00:00,3356.3150,3358.7050,3353.3150,3354.7250,0.8771
2025-07-12 00:00:00,3354.7250,3354.7250,3354.7250,3354.7250,0.0000
2025-07-12 04:00:00,3354.7250,3354.7250,3354.7250,3354.7250,0.0000
2025-07-12 08:00:00,3354.7250,3354.7250,3354.7250,3354.7250,0.0000
2025-07-12 12:00:00,3354.7250,3354.7250,3354.7250,3354.7250,0.0000
2025-07-12 16:00:00,3354.7250,3354.7250,3354.7250,3354.7250,0.0000
2025-07-12 20:00:00,3354.7250,3354.7250,3354.7250,3354.7250,0.0000
2025-07-13 00:00:00,3354.7250,3354.7250,3354.7250,3354.7250,0.0000
2025-07-13 04:00:00,3354.7250,3354.7250,3354.7250,3354.7250,0.0000
2025-07-13 08:00:00,3354.7250,3354.7250,3354.7250,3354.7250,0.0000
2025-07-13 12:00:00,3354.7250,3354.7250,3354.7250,3354.7250,0.0000
2025-07-13 16:00:00,3354.7250,3354.7250,3354.7250,3354.7250,0.0000
2025-07-13 20:00:00,3354.7250,3373.7050,3354.7250,3367.4980,2.1136
2025-07-14 00:00:00,3367.4980,3373.1050,3353.5750,3356.8350,6.3464
2025-07-14 04:00:00,3356.7950,3374.8050,3353.4350,3371.7250,4.2185
2025-07-14 08:00:00,3371.8050,3374.4450,3363.6280,3363.8880,3.3336
2025-07-14 12:00:00,3363.8880,3366.4450,3340.7550,3344.9250,7.5528
2025-07-14 16:00:00,3344.9650,3351.5150,3342.9050,3343.9550,5.0801
2025-07-14 20:00:00,3344.0650,3346.2650,3341.1050,3345.0480,1.0161
2025-07-15 00:00:00,3345.0350,3358.0950,3344.4150,3357.6850,2.2821
2025-07-15 04:00:00,3357.6650,3364.9750,3357.2850,3364.1650,2.9354
2025-07-15 08:00:00,3364.1350,3366.1480,3353.9350,3354.6480,3.7747
2025-07-15 12:00:00,3354.6750,3360.0480,3325.1450,3328.7650,12.7660
2025-07-15 16:00:00,3328.7450,3331.7980,3320.0550,3330.3250,5.9962
2025-07-15 20:00:00,3330.2850,3331.5450,3323.0650,3330.7980,0.7376
2025-07-16 00:00:00,3330.8250,3334.9150,3324.8650,3334.1550,3.5054
2025-07-16 04:00:00,3334.2050,3341.8650,3332.6250,3337.7050,5.0530
2025-07-16 08:00:00,3337.8850,3342.7750,3333.5850,3339.1050,3.3376
2025-07-16 12:00:00,3339.0850,3377.1850,3319.4990,3343.1480,15.7841
2025-07-16 16:00:00,3343.2450,3357.1750,3338.7480,3346.8550,14.6092
2025-07-16 20:00:00,3346.8490,3352.0250,3345.1250,3346.2750,1.4623
2025-07-17 00:00:00,3346.2480,3347.1650,3336.1480,3341.3050,4.0975
2025-07-17 04:00:00,3341.2850,3344.5480,3324.9550,3325.6350,3.6095
2025-07-17 08:00:00,3325.6650,3332.2550,3322.0980,3323.9980,3.6190
2025-07-17 12:00:00,3324.0050,3338.2480,3309.5750,3336.6050,11.1707
2025-07-17 16:00:00,3336.6050,3340.8950,3335.2750,3339.5350,5.8964
2025-07-17 20:00:00,3339.5350,3343.8950,3337.2050,3340.0550,1.5217
2025-07-18 00:00:00,3340.0950,3344.0480,3333.8950,3334.4150,2.6625
2025-07-18 04:00:00,3334.3450,3349.9350,3331.6450,3349.6550,4.1255
2025-07-18 08:00:00,3349.6850,3357.4980,3346.0250,3354.1250,5.1642
2025-07-18 12:00:00,3354.0850,3361.0350,3350.9950,3353.4850,6.9706
2025-07-18 16:00:00,3353.5050,3357.2350,3347.4950,3348.1550,5.2869
2025-07-18 20:00:00,3348.1490,3351.7450,3347.5550,3349.6550,0.7722
2025-07-19 00:00:00,3349.6550,3349.6550,3349.6550,3349.6550,0.0000
2025-07-19 04:00:00,3349.6550,3349.6550,3349.6550,3349.6550,0.0000
2025-07-19 08:00:00,3349.6550,3349.6550,3349.6550,3349.6550,0.0000
2025-07-19 12:00:00,3349.6550,3349.6550,3349.6550,3349.6550,0.0000
2025-07-19 16:00:00,3349.6550,3349.6550,3349.6550,3349.6550,0.0000
2025-07-19 20:00:00,3349.6550,3349.6550,3349.6550,3349.6550,0.0000
2025-07-20 00:00:00,3349.6550,3349.6550,3349.6550,3349.6550,0.0000
2025-07-20 04:00:00,3349.6550,3349.6550,3349.6550,3349.6550,0.0000
2025-07-20 08:00:00,3349.6550,3349.6550,3349.6550,3349.6550,0.0000
2025-07-20 12:00:00,3349.6550,3349.6550,3349.6550,3349.6550,0.0000
2025-07-20 16:00:00,3349.6550,3349.6550,3349.6550,3349.6550,0.0000
2025-07-20 20:00:00,3349.6550,3350.0150,3344.7980,3348.8980,0.7121
2025-07-21 00:00:00,3348.8350,3358.3550,3347.4180,3351.0350,2.2231
2025-07-21 04:00:00,3351.0150,3370.5650,3350.3980,3364.5050,6.2554
2025-07-21 08:00:00,3364.5450,3375.4550,3362.5950,3375.2050,6.7895
2025-07-21 12:00:00,3375.1950,3401.3390,3374.3550,3397.7750,10.7790
2025-07-21 16:00:00,3397.8250,3399.5480,3391.1450,3398.6480,6.7556
2025-07-21 20:00:00,3398.6480,3402.4750,3392.8980,3396.2980,1.6274
2025-07-22 00:00:00,3396.2980,3397.4750,3384.9450,3392.3650,4.0315
2025-07-22 04:00:00,3392.2350,3392.2350,3383.1150,3387.3750,3.9015
2025-07-22 08:00:00,3387.4250,3391.4450,3384.4450,3391.1650,3.2108
2025-07-22 12:00:00,3391.1250,3430.3650,3390.7250,3426.2950,13.1575
2025-07-22 16:00:00,3426.3150,3433.2790,3426.0790,3431.2480,7.2976
2025-07-22 20:00:00,3431.2480,3432.9150,3426.0150,3427.3050,2.0645
2025-07-23 00:00:00,3427.3050,3438.6550,3418.9150,3422.7450,8.0452
2025-07-23 04:00:00,3422.8250,3429.4650,3416.1650,3420.4850,5.6055
2025-07-23 08:00:00,3420.5050,3433.6480,3420.0050,3428.0550,4.5383
2025-07-23 12:00:00,3428.0450,3429.7550,3398.0000,3398.0150,13.7325
2025-07-23 16:00:00,3398.0090,3398.0090,3381.2150,3390.0350,9.0213
2025-07-23 20:00:00,3390.0350,3392.2350,3385.7650,3389.8850,1.2966
2025-07-24 00:00:00,3389.9850,3393.1650,3374.3480,3383.5650,6.7625
2025-07-24 04:00:00,3383.5050,3385.1350,3365.7850,3367.3950,5.3068
2025-07-24 08:00:00,3367.4150,3374.4850,3361.0650,3361.9750,6.2664
2025-07-24 12:00:00,3362.0150,3377.1450,3351.1680,3372.4090,12.1414
2025-07-24 16:00:00,3372.3750,3373.6390,3366.1250,3370.2650,9.8685
2025-07-24 20:00:00,3370.2750,3371.1650,3364.9480,3369.1480,2.7459
2025-07-25 00:00:00,3369.1450,3373.2950,3358.4750,3358.9550,4.7170
2025-07-25 04:00:00,3358.9350,3363.2480,3352.5150,3353.8850,5.2115
2025-07-25 08:00:00,3353.9050,3355.1250,3338.4650,3340.8650,4.2177
2025-07-25 12:00:00,3340.8050,3347.3980,3324.8050,3327.5750,10.5878
2025-07-25 16:00:00,3327.5150,3340.0850,3326.0480,3337.3850,6.5559
2025-07-25 20:00:00,3337.3490,3338.8980,3335.5450,3335.5750,0.5506
2025-07-26 00:00:00,3335.5750,3335.5750,3335.5750,3335.5750,0.0000
2025-07-26 04:00:00,3335.5750,3335.5750,3335.5750,3335.5750,0.0000
2025-07-26 08:00:00,3335.5750,3335.5750,3335.5750,3335.5750,0.0000
2025-07-26 12:00:00,3335.5750,3335.5750,3335.5750,3335.5750,0.0000
2025-07-26 16:00:00,3335.5750,3335.5750,3335.5750,3335.5750,0.0000
2025-07-26 20:00:00,3335.5750,3335.5750,3335.5750,3335.5750,0.0000
2025-07-27 00:00:00,3335.5750,3335.5750,3335.5750,3335.5750,0.0000
2025-07-27 04:00:00,3335.5750,3335.5750,3335.5750,3335.5750,0.0000
2025-07-27 08:00:00,3335.5750,3335.5750,3335.5750,3335.5750,0.0000
2025-07-27 12:00:00,3335.5750,3335.5750,3335.5750,3335.5750,0.0000
2025-07-27 16:00:00,3335.5750,3335.5750,3335.5750,3335.5750,0.0000
2025-07-27 20:00:00,3335.5750,3337.1480,3316.9380,3333.3980,2.2865
2025-07-28 00:00:00,3333.3950,3343.1550,3327.4650,3343.0950,3.5062
2025-07-28 04:00:00,3343.0750,3345.1450,3333.7480,3334.7950,4.1179
2025-07-28 08:00:00,3334.7750,3340.5750,3332.0650,3336.2650,3.4175
2025-07-28 12:00:00,3336.3750,3338.1750,3301.4650,3314.5650,8.2097
2025-07-28 16:00:00,3314.4950,3318.7850,3308.6050,3317.0150,7.3839
2025-07-28 20:00:00,3317.0090,3318.3150,3310.1550,3312.4050,2.6139
2025-07-29 00:00:00,3312.3850,3320.6480,3307.8150,3312.3980,4.2120
2025-07-29 04:00:00,3312.4050,3322.1980,3308.8150,3316.8480,4.3808
2025-07-29 08:00:00,3316.8450,3329.7350,3314.6850,3315.0550,3.9958
