Datetime,Open,High,Low,Close,Volume
2025-07-07 00:00:00,3328.6850,3329.4950,3322.7980,3325.0950,0.2621
2025-07-07 00:15:00,3325.0750,3326.0050,3322.2250,3323.7150,0.1770
2025-07-07 00:30:00,3323.7150,3325.0980,3321.5450,3324.7950,0.2063
2025-07-07 00:45:00,3324.7650,3326.2650,3323.8150,3326.2650,0.2010
2025-07-07 01:00:00,3326.2850,3327.5480,3310.4250,3310.7780,0.7281
2025-07-07 01:15:00,3310.9480,3314.1350,3306.4750,3312.0450,0.5885
2025-07-07 01:30:00,3312.0750,3318.7050,3311.8050,3316.9750,0.3151
2025-07-07 01:45:00,3317.0050,3319.8650,3315.6480,3316.2980,0.3047
2025-07-07 02:00:00,3316.2980,3317.4980,3312.2380,3314.8150,0.2943
2025-07-07 02:15:00,3314.7550,3316.0350,3312.4550,3314.5950,0.2572
2025-07-07 02:30:00,3314.5350,3315.1980,3307.9480,3309.3650,0.4089
2025-07-07 02:45:00,3309.3350,3309.8250,3305.7650,3308.6950,0.4471
2025-07-07 03:00:00,3308.6950,3312.8150,3306.8350,3311.9480,0.5254
2025-07-07 03:15:00,3311.9480,3315.0950,3311.2350,3312.8480,0.3536
2025-07-07 03:30:00,3312.8550,3313.8350,3309.5980,3310.1350,0.3548
2025-07-07 03:45:00,3310.1480,3311.2650,3309.5980,3310.7550,0.2503
2025-07-07 04:00:00,3310.7850,3312.0850,3308.5950,3311.1850,0.2222
2025-07-07 04:15:00,3311.2150,3312.1550,3305.0050,3307.2350,0.2746
2025-07-07 04:30:00,3307.1150,3309.2050,3305.0480,3305.3050,0.3151
2025-07-07 04:45:00,3305.3350,3308.5250,3305.2480,3307.5250,0.2188
2025-07-07 05:00:00,3307.6450,3311.5980,3306.7480,3311.0980,0.3416
2025-07-07 05:15:00,3311.0450,3312.0980,3307.3450,3308.9480,0.3344
2025-07-07 05:30:00,3308.7250,3313.2180,3307.4350,3310.5450,0.3977
2025-07-07 05:45:00,3310.5750,3314.9950,3310.4450,3313.1750,0.2899
2025-07-07 06:00:00,3313.1750,3315.0750,3311.4650,3314.2550,0.3022
2025-07-07 06:15:00,3314.2850,3314.2950,3309.2650,3311.8250,0.3276
2025-07-07 06:30:00,3311.8250,3312.4150,3308.1450,3311.7850,0.3970
2025-07-07 06:45:00,3311.7950,3312.0550,3308.8950,3309.7350,0.1953
2025-07-07 07:00:00,3309.6950,3313.0480,3305.6350,3310.9480,0.3027
2025-07-07 07:15:00,3310.8850,3312.4480,3308.8150,3311.8150,0.1934
2025-07-07 07:30:00,3311.7850,3311.7850,3306.4550,3306.4950,0.2434
2025-07-07 07:45:00,3306.3250,3306.3650,3300.4350,3302.0350,0.3815
2025-07-07 08:00:00,3301.9980,3306.7150,3301.0850,3306.6980,0.3046
2025-07-07 08:15:00,3306.7850,3310.3550,3306.3350,3310.1850,0.3457
2025-07-07 08:30:00,3310.2050,3312.6250,3309.4950,3310.2050,0.2886
2025-07-07 08:45:00,3310.2450,3310.7750,3308.1650,3310.0050,0.2323
2025-07-07 09:00:00,3309.9380,3311.7480,3309.4650,3309.9650,0.2771
