s,entry,exit,dir,r,px,sl,tp,stop,reason,mfe,mae,dur_h,m5_macd,m5_hist,m5_rsi,m5_atrp,m5_bbw,m5_stack,m5_above200,m5_volr,m5_cvd20,h1_macd,h1_hist,h1_rsi,h1_atrp,h1_bbw,h1_stack,h1_above200,h1_volr,h1_cvd20,m15_macd,m15_hist,m15_rsi,m15_atrp,m15_bbw,m15_stack,m15_above200,m15_volr,m15_cvd20,h4_macd,h4_hist,h4_rsi,h4_atrp,h4_bbw,h4_stack,h4_above200,h4_volr,h4_cvd20,d1_macd,d1_hist,d1_rsi,d1_atrp,d1_bbw,d1_stack,d1_above200,d1_volr,d1_cvd20,ym
fvg,2022-02-07 01:35:00,2022-02-20 23:00:00,bull,4.9282,1810.03,1790.87,1905.82,19.16,tp,5.020250521894472,0.07265135699336053,333.4166666666667,0.01071210269429616,-0.026604534873551505,40.33589609855298,0.07328242731614822,0.27090832777527357,-1.0,1.0,5.920995670995671,-1.307799999999999,0.03340549519723516,0.023465761670262316,94.5863138185954,0.03192762734943179,0.2893530017501393,2.0,1.0,inf,3.003700000000001,0.05912841381571027,0.01148984560756277,51.979207295802745,0.08597648973421287,0.4488388845805297,2.0,1.0,inf,-1.9544999999999995,0.07542195841695651,-0.005182381405210709,62.56887960608339,0.04918490319062743,0.3302603674774327,2.0,0.0,0.4657053841216164,28.19450000000001,-0.15464491222849577,-0.04210600937015887,49.37942506640292,0.8388506352796756,4.284148160804028,-1.0,1.0,0.04230644509805037,63.918900000000015,2022-02
fvg,2022-02-22 01:05:00,2022-02-23 09:30:00,bull,-1.0897741351377108,1905.72,1890.39,1982.37,15.33,sl,0.4949771689465406,1.0549249836852272,32.416666666666664,0.005422598276752725,-0.03248765174785573,38.780714475690715,0.08653443179606857,0.3397251252650398,-1.0,1.0,13.905236907730673,-1.5367999999999986,0.1515440946732421,0.06874591437631722,68.12323319348059,0.19991672538642483,1.2724255160300328,2.0,1.0,inf,8.851700000000005,0.1301654806385467,-0.004794862615167432,56.061692330925545,0.1140402480987489,0.6059102000197216,2.0,1.0,1.1511260371394707,-0.6011999999999997,0.2868863239655068,-0.024048909184210314,69.74896717223352,0.254310595073997,0.8281494870063281,2.0,1.0,0.2854023148240059,25.8292,1.2238456162930618,0.3463502660239466,75.44350667515829,0.9806835722754856,7.96140700530427,2.0,1.0,1.3277482423773217,361.9701,2022-02
fib,2022-02-22 01:05:00,2022-02-23 09:30:00,bull,-1.0898,1905.72,1890.39,1982.37,15.33,sl,0.4949771689465406,1.0549249836852272,32.416666666666664,0.005422598276752725,-0.03248765174785573,38.780714475690715,0.08653443179606857,0.3397251252650398,-1.0,1.0,13.905236907730673,-1.5367999999999986,0.1515440946732421,0.06874591437631722,68.12323319348059,0.19991672538642483,1.2724255160300328,2.0,1.0,inf,8.851700000000005,0.1301654806385467,-0.004794862615167432,56.061692330925545,0.1140402480987489,0.6059102000197216,2.0,1.0,1.1511260371394707,-0.6011999999999997,0.2868863239655068,-0.024048909184210314,69.74896717223352,0.254310595073997,0.8281494870063281,2.0,1.0,0.2854023148240059,25.8292,1.2238456162930618,0.3463502660239466,75.44350667515829,0.9806835722754856,7.96140700530427,2.0,1.0,1.3277482423773217,361.9701,2022-02
fib,2022-03-04 15:00:00,2022-03-08 14:35:00,bull,4.904761904761905,1946.38,1931.15,2022.53,15.23,tp,5.330794484534917,0.0,95.58333333333333,0.12099148339023325,0.0282335693159838,54.255931423987185,0.1775314368979452,0.9257233333914632,2.0,1.0,1.5279978869519282,1.9227000000000007,0.21869735074598018,0.05104346893064431,67.74576086641156,0.3529329357156129,1.1452765430634402,2.0,1.0,1.8335313439094276,25.251600000000007,0.12696103153243588,0.023160084927123913,64.35180379530722,0.22642486087149266,0.5961873575783367,2.0,1.0,1.7220801364023872,3.5773,0.4001824299777633,0.014451420345263161,65.34430358077375,0.6875730829217899,1.8553250524809421,2.0,1.0,1.0448627855665893,84.84309999999999,1.2176991625149687,0.09626848592860567,67.56063123664791,1.4944052374659136,5.229068070567356,2.0,1.0,1.5224774668364456,-39.383499999999955,2022-03
harmonic,2022-03-04 02:20:00,2022-03-08 14:35:00,bull,4.9149,1937.15,1920.36,2021.12,16.79,tp,5.385229303124562,0.19249553305425546,108.25,-0.06995877945735796,-0.03982924566244326,43.19548000603046,0.14102918215542223,1.0095374504262047,-2.0,1.0,2.2098735988552347,-1.359999999999999,0.12746631951730147,0.039193202194405814,51.40317232428386,0.3602294830248874,0.98616848540329,2.0,1.0,2.2892234086002685,1.4701000000000066,0.058745077129008054,-0.035768561993358275,46.237222435233335,0.21353045782772445,0.8880861347505813,2.0,1.0,2.9445299431247913,-1.5918999999999977,0.36604744433048425,-0.023811995329215595,59.97493543222487,0.6925238538004066,2.484533262289792,2.0,1.0,0.28731441940213603,36.28789999999999,1.2176991625149687,0.09626848592860567,67.56063123664791,1.4944052374659136,5.229068070567356,2.0,1.0,1.5224774668364456,-39.383499999999955,2022-03
fvg,2022-03-04 14:35:00,2022-03-15 05:15:00,bull,-1.0515513586432839,1958.7,1931.41,2095.17,27.29,sl,4.091535360923085,1.0044705020117108,254.66666666666666,0.07251510827803928,0.04271797974929388,72.93454801295394,0.14343971483495996,0.6574901349430824,2.0,1.0,1.9224828792073438,3.0836000000000006,0.1941523437282597,0.038863980789226815,62.94826093887161,0.36241928687883457,1.033822826948649,2.0,1.0,1.7176788427984466,21.606900000000007,0.09810190856922357,0.00507907822382444,64.64647787860162,0.18003257980004134,0.4470563681959785,2.0,1.0,1.2864898819939876,5.437600000000001,0.4001824299777633,0.014451420345263161,65.34430358077375,0.6875730829217899,1.8553250524809421,2.0,1.0,1.0448627855665893,84.84309999999999,1.2176991625149687,0.09626848592860567,67.56063123664791,1.4944052374659136,5.229068070567356,2.0,1.0,1.5224774668364456,-39.383499999999955,2022-03
harmonic,2022-03-21 07:30:00,2022-03-22 14:00:00,bull,-1.1660470879801734,1924.79,1916.4,1966.74,8.39,sl,1.952085816424877,1.134922526804105,30.5,-0.027965939697660612,0.005564621290838978,47.12545075440671,0.06593904565518177,0.134250348380119,-2.0,1.0,1.5341563786008232,-0.2754999999999971,0.056228170214185406,0.024605790576354657,53.301624641381935,0.14330429353756519,0.5601745984375499,1.0,0.0,inf,-0.741599999999994,0.0034543053215725598,-0.02597614877902739,46.48064445031831,0.08850768996859751,0.3083483667205132,-1.0,1.0,2.097742035261367,-0.7299999999999993,-0.25139107227948887,0.06034359330403164,47.5901470705391,0.0801129568589225,1.541987009502695,-2.0,0.0,0.9918356530846594,-17.284400000000005,0.27513128217830884,-0.5952872436706448,45.60086315455228,1.7851838583930981,7.134292837155236,-1.0,1.0,0.031722607180645825,282.91380000000004,2022-03
fvg,2022-03-24 12:30:00,2022-03-28 05:50:00,bull,-1.144902132632194,1945.14,1935.43,1993.69,9.71,sl,2.156848609658527,1.2525231719747458,89.33333333333333,0.10428357295756295,-0.02843531882841942,41.67721683007181,0.14636969242834783,0.9408070923462006,2.0,1.0,3.4297307266691255,0.15510000000000318,0.2029494908508798,0.01833535575938265,71.01758700381346,0.23945003930773107,0.9361463873723512,2.0,1.0,1.570944972630366,7.356700000000005,0.12208762865619975,0.04306592868961805,51.28288776700634,0.18577776446432498,0.964289923093232,2.0,1.0,3.2746192127884184,-1.1198999999999988,0.23116539276581316,0.16075885327291126,67.72589760823607,0.5452989687981455,2.159551260551721,1.0,1.0,1.5235838137545608,15.320799999999993,0.14825835996438289,-0.36936198920650837,52.71283254332338,1.2824392355299281,7.21243441175754,-1.0,1.0,0.6815010461499296,217.9281,2022-03
harmonic,2022-04-08 17:20:00,2022-04-22 15:10:00,bull,-1.0968270807213811,1941.21,1926.73,2013.61,14.48,sl,3.940469613232455,1.0187845303797012,333.8333333333333,-0.016970365875492544,-0.007276673104763725,52.343256459318596,0.05614375862052677,0.22371983407160592,-1.0,1.0,0.5990888382687928,-0.15109999999999674,0.1444593952490379,0.05112130575201043,65.25680802783071,0.2503314400629167,0.8746415622188413,2.0,1.0,0.9085220133533716,2.7278000000000064,0.10670813688625791,-0.023253216274849463,54.9379270164556,0.16439461891328494,0.9930353301886307,2.0,1.0,0.9504198320671732,4.241399999999999,0.12428064837959807,0.07484573510919514,67.8393808088004,0.47188684987208823,1.2095881251970217,2.0,1.0,2.759592730421172,22.769099999999995,-0.1484703963512555,-0.08602151840653954,49.92286386260665,0.995108180851709,3.0026785571548484,-1.0,1.0,1.4147334434616887,65.53299999999999,2022-04
harmonic,2022-05-04 07:00:00,2022-05-05 12:45:00,bull,4.827401267674306,1867.51,1859.65,1906.83,7.86,tp,5.247201017744938,0.7597964376493639,29.75,0.003796001839919964,0.011893470697847427,61.75362906861678,0.07867720655506799,0.224188471146967,1.0,1.0,1.9387442572741194,0.3816000000000039,-0.031568668977265964,-0.0009967798265279769,50.40686993137282,0.17092010850107206,0.6959764986915538,-2.0,0.0,0.7578318713840083,0.45560000000000533,-0.015926086004604406,0.010530357507136835,57.344556033144436,0.09610788145089696,0.26297623534143877,-2.0,0.0,2.0093725592293676,0.26139999999999997,-0.4808914281363996,-0.01984349720555416,36.155277049925836,0.538597550146545,3.2274308374452207,-2.0,0.0,0.486735666621272,-45.45090000000001,-1.0089346779738522,-0.3727243929186589,31.148310013677644,1.0847001509258392,8.077830189356655,-2.0,0.0,1.0779428197012866,-154.7481,2022-05
