s,entry,exit,r,px,sl,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 09:40:00,0.2594,1810.13,1805.77,8.083333333333334,time
fvg,2022-02-07 01:40:00,2022-02-07 09:45:00,0.45770000000000005,1809.65,1805.77,8.083333333333334,time
fvg,2022-02-07 02:00:00,2022-02-07 10:15:00,0.1435,1809.68,1805.77,8.25,time
fib,2022-02-22 01:05:00,2022-02-22 01:15:00,0.013000000000000001,1905.82,1902.49,0.16666666666666666,time
fvg,2022-02-22 01:05:00,2022-02-22 08:30:00,-1.02984334721396,1905.82,1902.49,7.416666666666667,sl
fvg,2022-02-22 01:10:00,2022-02-22 08:30:00,-1.029050168550466,1905.92,1902.49,7.333333333333333,sl
fvg,2022-02-22 01:20:00,2022-02-22 08:30:00,-1.0266706325599841,1906.22,1902.49,7.166666666666667,sl
harmonic,2022-03-04 02:20:00,2022-03-04 10:25:00,0.9813,1937.25,1931.25,8.083333333333334,time
harmonic,2022-03-04 02:25:00,2022-03-04 10:30:00,0.7475,1938.27,1931.25,8.083333333333334,time
harmonic,2022-03-04 02:30:00,2022-03-04 10:35:00,1.4480000000000002,1936.85,1931.25,8.083333333333334,time
fvg,2022-03-04 14:55:00,2022-03-04 15:00:00,-1.0358187134502923,1951.57,1948.76,0.08333333333333333,sl
fvg,2022-03-04 14:40:00,2022-03-04 15:00:00,-1.0240409207161125,1952.95,1948.76,0.3333333333333333,sl
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.0100255754475704,1958.8,1948.76,0.4166666666666667,sl
harmonic,2022-03-21 07:45:00,2022-03-21 13:25:00,-1.0199651095173483,1925.2,1920.2,5.666666666666667,sl
harmonic,2022-03-21 07:40:00,2022-03-21 13:25:00,-1.0215157976352005,1924.84,1920.2,5.75,sl
harmonic,2022-03-21 07:30:00,2022-03-21 13:25:00,-1.021321961620469,1924.89,1920.2,5.916666666666667,sl
threevol,2022-03-23 19:35:00,2022-03-24 02:05:00,-1.0334,1943.74,1940.73,6.5,sl
fvg,2022-03-24 12:30:00,2022-03-24 13:30:00,2.970876859765749,1945.24,1941.78,1.0,tp
fvg,2022-03-24 12:45:00,2022-03-24 14:15:00,2.9779466075762375,1946.34,1941.78,1.5,tp
fvg,2022-03-24 12:35:00,2022-03-24 14:25:00,2.9781576448243117,1946.39,1941.78,1.8333333333333333,tp
fvg,2022-03-24 13:30:00,2022-03-24 21:35:00,0.09253945480631276,1956.23,1941.78,8.083333333333334,time
fvg,2022-03-24 14:15:00,2022-03-24 22:20:00,-0.010457125784284435,1958.43,1941.78,8.083333333333334,time
harmonic,2022-04-08 17:20:00,2022-04-09 01:30:00,1.052889422115577,1941.31,1935.87,8.166666666666666,time
harmonic,2022-04-08 17:30:00,2022-04-09 01:35:00,1.2560487902419517,1940.82,1935.87,8.083333333333334,time
harmonic,2022-04-08 17:35:00,2022-04-09 01:40:00,1.2334533093381326,1940.87,1935.87,8.083333333333334,time
harmonic,2022-05-04 07:35:00,2022-05-04 12:25:00,-1.0145809192738509,1870.47,1863.69,4.833333333333333,sl
harmonic,2022-05-04 07:00:00,2022-05-04 12:25:00,-1.0251062186172266,1867.61,1863.69,5.416666666666667,sl
harmonic,2022-05-04 07:30:00,2022-05-04 12:25:00,-1.0144843568945539,1870.51,1863.69,4.916666666666667,sl
harmonic,2022-05-18 01:25:00,2022-05-18 03:15:00,2.941434262948207,1815.03,1816.86,1.8333333333333333,tp
harmonic,2022-05-18 01:20:00,2022-05-18 08:15:00,-1.040637450199203,1814.47,1816.86,6.916666666666667,sl
harmonic,2022-05-18 01:30:00,2022-05-18 08:15:00,-1.024003984063745,1812.81,1816.86,6.75,sl
harmonic,2022-05-19 05:55:00,2022-05-19 08:45:00,-1.021129541864139,1813.92,1818.52,2.8333333333333335,sl
harmonic,2022-05-19 06:00:00,2022-05-19 08:45:00,-1.018957345971564,1813.38,1818.52,2.75,sl
harmonic,2022-05-31 00:35:00,2022-05-31 03:00:00,-1.0241911097671605,1848.63,1852.68,2.4166666666666665,sl
harmonic,2022-05-31 00:55:00,2022-05-31 03:00:00,-1.0159258139300475,1846.53,1852.68,2.0833333333333335,sl
harmonic,2022-05-31 01:00:00,2022-05-31 03:00:00,-1.0199576655579075,1847.77,1852.68,2.0,sl
harmonic,2022-06-09 19:25:00,2022-06-10 03:30:00,0.8194863262971821,1847.68,1850.76,8.083333333333334,time
harmonic,2022-06-09 19:30:00,2022-06-10 03:35:00,0.740875532910471,1847.65,1850.76,8.083333333333334,time
harmonic,2022-06-09 19:40:00,2022-06-10 03:55:00,0.699178538005615,1847.25,1850.76,8.25,time
fvg,2022-06-23 22:10:00,2022-06-24 06:15:00,0.16290775336366276,1824.54,1828.19,8.083333333333334,time
fvg,2022-06-23 22:30:00,2022-06-24 06:35:00,-0.11683283322040461,1823.52,1828.19,8.083333333333334,time
fvg,2022-06-23 22:35:00,2022-06-24 06:40:00,0.29968057303262025,1823.67,1828.19,8.083333333333334,time
harmonic,2022-06-30 14:40:00,2022-06-30 15:55:00,-1.0291814946619218,1810.13,1813.46,1.25,sl
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.021962379257753,1809.04,1813.46,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.0240185203048133,1738.13,1742.09,1.8333333333333333,sl
fvg,2022-07-06 17:30:00,2022-07-06 19:15:00,-1.0273946175364137,1738.61,1742.09,1.75,sl
fvg,2022-07-06 17:50:00,2022-07-06 19:15:00,-1.0181344651297386,1736.84,1742.09,1.4166666666666667,sl
fvg,2022-07-20 08:35:00,2022-07-20 09:25:00,-1.0322452229299361,1707.21,1710.14,0.8333333333333334,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.038813694267516,1707.71,1710.14,0.9166666666666666,sl
fvg,2022-07-20 08:40:00,2022-07-20 09:25:00,-1.034434713375796,1707.4,1710.14,0.75,sl
fvg,2022-07-21 00:00:00,2022-07-21 08:05:00,1.4939400164338537,1694.18,1697.99,8.083333333333334,time
fvg,2022-07-21 00:05:00,2022-07-21 08:10:00,1.3537387017255547,1693.97,1697.99,8.083333333333334,time
fvg,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.0099860195725983,1745.13,1754.68,0.16666666666666666,sl
fib,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.00999900009999,1745.13,1754.68,0.16666666666666666,sl
fvg,2022-08-26 14:20:00,2022-08-26 16:05:00,2.981436642453591,1749.54,1754.68,1.75,tp
