s,entry,exit,r,px,sl,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 09:40:00,0.2594,1810.13,1805.77,8.083333333333334,time
fvg,2022-02-07 01:40:00,2022-02-07 09:45:00,0.45770000000000005,1809.65,1805.77,8.083333333333334,time
fvg,2022-02-07 02:00:00,2022-02-07 10:15:00,0.1435,1809.68,1805.77,8.25,time
fvg,2022-02-07 02:15:00,2022-02-07 10:25:00,0.2669,1810.27,1805.77,8.166666666666666,time
fvg,2022-02-07 02:25:00,2022-02-07 10:30:00,0.2788,1810.17,1805.77,8.083333333333334,time
fvg,2022-02-07 02:30:00,2022-02-07 10:35:00,0.3037,1810.02,1805.77,8.083333333333334,time
fvg,2022-02-07 02:35:00,2022-02-07 10:45:00,0.3885,1809.53,1805.77,8.166666666666666,time
fvg,2022-02-07 02:45:00,2022-02-07 10:55:00,0.11289999999999999,1809.73,1805.77,8.166666666666666,time
fvg,2022-02-07 02:55:00,2022-02-07 11:05:00,0.589,1809.32,1805.77,8.166666666666666,time
fib,2022-02-22 01:05:00,2022-02-22 01:15:00,0.013000000000000001,1905.82,1902.49,0.16666666666666666,time
fvg,2022-02-22 01:10:00,2022-02-22 08:30:00,-1.0289883268482491,1905.92,1902.49,7.333333333333333,sl
fvg,2022-02-22 01:20:00,2022-02-22 08:30:00,-1.0266536964980546,1906.22,1902.49,7.166666666666667,sl
fvg,2022-02-22 01:25:00,2022-02-22 08:30:00,-1.0233463035019457,1906.76,1902.49,7.083333333333333,sl
fvg,2022-02-22 01:45:00,2022-02-22 08:30:00,-1.0152723735408562,1909.0,1902.49,6.75,sl
fvg,2022-02-22 01:50:00,2022-02-22 08:30:00,-1.0170233463035019,1908.35,1902.49,6.666666666666667,sl
fvg,2022-02-22 01:55:00,2022-02-22 08:30:00,-1.0149805447470819,1909.14,1902.49,6.583333333333333,sl
fvg,2022-02-22 02:00:00,2022-02-22 08:30:00,-1.0157587548638132,1908.82,1902.49,6.5,sl
fvg,2022-02-22 02:05:00,2022-02-22 08:30:00,-1.0218871595330739,1907.03,1902.49,6.416666666666667,sl
fvg,2022-02-22 02:25:00,2022-02-22 08:30:00,-1.0164396887159532,1908.54,1902.49,6.083333333333333,sl
fvg,2022-02-22 02:30:00,2022-02-22 08:30:00,-1.019260700389105,1907.67,1902.49,6.0,sl
fvg,2022-02-22 02:40:00,2022-02-22 08:30:00,-1.0178988326848248,1908.04,1902.49,5.833333333333333,sl
fvg,2022-02-22 03:00:00,2022-02-22 08:30:00,-1.0142023346303504,1909.5,1902.49,5.5,sl
fvg,2022-02-22 03:05:00,2022-02-22 08:30:00,-1.0157587548638132,1908.81,1902.49,5.416666666666667,sl
fvg,2022-02-22 01:05:00,2022-02-22 08:30:00,-1.029863813229572,1905.82,1902.49,7.416666666666667,sl
harmonic,2022-03-04 02:20:00,2022-03-04 10:25:00,0.9813,1937.25,1931.25,8.083333333333334,time
harmonic,2022-03-04 02:25:00,2022-03-04 10:30:00,0.7475,1938.27,1931.25,8.083333333333334,time
harmonic,2022-03-04 02:30:00,2022-03-04 10:35:00,1.4480000000000002,1936.85,1931.25,8.083333333333334,time
harmonic,2022-03-04 02:40:00,2022-03-04 10:45:00,1.5704,1936.94,1931.25,8.083333333333334,time
harmonic,2022-03-04 02:45:00,2022-03-04 10:50:00,1.2482,1938.29,1931.25,8.083333333333334,time
harmonic,2022-03-04 02:50:00,2022-03-04 10:55:00,0.9934999999999999,1939.15,1931.25,8.083333333333334,time
harmonic,2022-03-04 02:55:00,2022-03-04 11:00:00,1.1159000000000001,1938.96,1931.25,8.083333333333334,time
harmonic,2022-03-04 03:15:00,2022-03-04 11:20:00,0.7254,1940.2,1931.25,8.083333333333334,time
harmonic,2022-03-04 03:20:00,2022-03-04 11:25:00,0.532,1940.96,1931.25,8.083333333333334,time
harmonic,2022-03-04 03:25:00,2022-03-04 11:30:00,0.7777,1939.38,1931.25,8.083333333333334,time
harmonic,2022-03-04 03:30:00,2022-03-04 11:35:00,0.8051,1939.01,1931.25,8.083333333333334,time
harmonic,2022-03-04 03:35:00,2022-03-04 11:40:00,0.5593,1939.72,1931.25,8.083333333333334,time
harmonic,2022-03-04 03:40:00,2022-03-04 11:50:00,0.7493000000000001,1939.62,1931.25,8.166666666666666,time
harmonic,2022-03-04 03:50:00,2022-03-04 11:55:00,0.7986,1939.56,1931.25,8.083333333333334,time
fvg,2022-03-04 14:55:00,2022-03-04 15:00:00,-1.035792887756284,1951.57,1948.76,0.08333333333333333,sl
fvg,2022-03-04 14:40:00,2022-03-04 15:00:00,-1.0240581025873807,1952.95,1948.76,0.3333333333333333,sl
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.0099863822060826,1958.8,1948.76,0.4166666666666667,sl
harmonic,2022-03-21 07:40:00,2022-03-21 13:25:00,-1.0215833701901813,1924.84,1920.2,5.75,sl
harmonic,2022-03-21 07:50:00,2022-03-21 13:25:00,-1.021671826625387,1924.82,1920.2,5.583333333333333,sl
harmonic,2022-03-21 07:55:00,2022-03-21 13:25:00,-1.0221141088014154,1924.72,1920.2,5.5,sl
harmonic,2022-03-21 07:30:00,2022-03-21 13:25:00,-1.0213180008845644,1924.89,1920.2,5.916666666666667,sl
harmonic,2022-03-21 07:45:00,2022-03-21 13:25:00,-1.0199911543564795,1925.2,1920.2,5.666666666666667,sl
threevol,2022-03-23 19:35:00,2022-03-24 02:05:00,-1.0334,1943.74,1940.73,6.5,sl
fvg,2022-03-24 12:30:00,2022-03-24 13:30:00,2.970856741573034,1945.24,1941.78,1.0,tp
fvg,2022-03-24 12:45:00,2022-03-24 14:15:00,2.9778792134831464,1946.34,1941.78,1.5,tp
fvg,2022-03-24 12:35:00,2022-03-24 14:25:00,2.9781132958801497,1946.39,1941.78,1.8333333333333333,tp
fvg,2022-03-24 13:00:00,2022-03-24 14:30:00,2.9806882022471908,1947.01,1941.78,1.5,tp
fvg,2022-03-24 12:50:00,2022-03-24 14:30:00,2.979049625468165,1946.6,1941.78,1.6666666666666667,tp
fvg,2022-03-24 13:05:00,2022-03-24 16:20:00,2.983380149812734,1947.84,1941.78,3.25,tp
fvg,2022-03-24 12:55:00,2022-03-24 21:00:00,1.1896067415730338,1948.99,1941.78,8.083333333333334,time
fvg,2022-03-24 13:25:00,2022-03-24 21:30:00,0.3528475616687507,1953.45,1941.78,8.083333333333334,time
fvg,2022-03-24 13:30:00,2022-03-24 21:35:00,0.09253154484483347,1956.23,1941.78,8.083333333333334,time
