s,entry,exit,r,stop,dur_h,reason
threevol,2023-03-23 16:25:00,2023-03-23 17:45:00,1.4743690851735016,3.98,1.3333333333333333,tp
threevol,2023-03-23 18:05:00,2023-03-23 18:55:00,-1.0247741183328476,4.11,0.8333333333333334,sl
threevol,2023-03-30 14:20:00,2023-03-30 16:25:00,1.482430310168826,6.07,2.0833333333333335,tp
harmonic,2023-04-04 13:15:00,2023-04-04 14:00:00,1.4881340158213123,7.74,0.75,tp
threevol,2023-04-04 14:10:00,2023-04-04 16:15:00,0.5144598123609633,13.65,2.0833333333333335,time
harmonic,2023-04-04 14:15:00,2023-04-04 16:20:00,0.06016140865737343,17.65,2.0833333333333335,time
fvg,2023-04-11 14:45:00,2023-04-11 16:50:00,0.40855340953882535,7.7,2.0833333333333335,time
harmonic,2023-05-30 23:45:00,2023-05-31 01:30:00,-1.0710292365502703,1.42,1.75,sl
harmonic,2023-06-01 12:00:00,2023-06-01 12:15:00,-1.0206596257179914,4.9,0.25,sl
harmonic,2023-06-01 12:30:00,2023-06-01 12:40:00,1.4540434294271807,2.2,0.16666666666666666,tp
fvg,2023-06-12 12:35:00,2023-06-12 13:05:00,-1.0542742172931594,1.86,0.5,sl
harmonic,2023-07-05 12:40:00,2023-07-05 13:20:00,1.4660946581787988,2.96,0.6666666666666666,tp
harmonic,2023-07-25 15:00:00,2023-07-25 17:05:00,-0.4219858156028368,4.09,2.0833333333333335,time
harmonic,2023-08-15 05:40:00,2023-08-15 07:45:00,-0.0681154127100073,4.47,2.0833333333333335,time
harmonic,2023-08-29 12:15:00,2023-08-29 13:55:00,-1.0164473684210527,6.06,1.6666666666666667,sl
harmonic,2023-09-05 05:30:00,2023-09-05 06:25:00,1.4468752884704146,1.7,0.9166666666666666,tp
harmonic,2023-09-05 06:25:00,2023-09-05 08:35:00,0.8427661510464058,3.34,2.1666666666666665,time
harmonic,2023-10-02 00:35:00,2023-10-02 02:40:00,1.0498105035192205,2.55,2.0833333333333335,time
harmonic,2023-10-02 13:45:00,2023-10-02 16:00:00,0.3616394320921511,6.27,2.25,time
threevol,2023-10-19 16:55:00,2023-10-19 17:20:00,1.4803695150115475,4.89,0.4166666666666667,tp
harmonic,2023-10-27 06:05:00,2023-10-27 08:10:00,-0.9530207313817955,3.9,2.0833333333333335,time
harmonic,2023-10-27 18:15:00,2023-10-27 20:30:00,0.08237513474667625,10.88,2.25,time
harmonic,2023-11-03 13:40:00,2023-11-03 14:10:00,-1.0158872632618259,6.43,0.5,sl
harmonic,2023-11-03 14:15:00,2023-11-03 14:20:00,1.3887377584330796,0.87,0.08333333333333333,tp
harmonic,2023-11-03 14:20:00,2023-11-03 14:25:00,-1.0648421429210266,1.57,0.08333333333333333,sl
fvg,2023-11-14 02:55:00,2023-11-14 04:00:00,-1.0620908549890895,1.62,1.0833333333333333,sl
fib,2023-11-21 19:10:00,2023-11-21 19:20:00,0.2945421282650676,5.17,0.16666666666666666,time
fvg,2023-11-21 19:10:00,2023-11-21 21:15:00,0.0218546365914787,5.17,2.0833333333333335,time
harmonic,2023-11-21 19:10:00,2023-11-21 21:15:00,0.021876694991864037,5.17,2.0833333333333335,time
harmonic,2023-11-29 05:05:00,2023-11-29 05:35:00,-1.0324446452779033,3.18,0.5,sl
threevol,2023-12-07 02:10:00,2023-12-07 04:00:00,-1.04029963967381,2.55,1.8333333333333333,sl
fvg,2023-12-13 23:35:00,2023-12-14 00:00:00,1.4744913300591362,4.23,0.4166666666666667,tp
threevol,2023-12-14 00:30:00,2023-12-14 01:10:00,-1.0228056726715216,4.51,0.6666666666666666,sl
fvg,2023-12-14 00:00:00,2023-12-14 02:05:00,-0.05837613591465824,10.75,2.0833333333333335,time
threevol,2023-12-18 04:50:00,2023-12-18 07:00:00,0.38164391519024105,1.5,2.1666666666666665,time
threevol,2023-12-21 12:25:00,2023-12-21 13:30:00,-1.0411804417012247,2.5,1.0833333333333333,sl
threevol,2023-12-21 16:20:00,2023-12-21 17:50:00,-1.0337199103401227,3.06,1.5,sl
harmonic,2024-01-30 13:00:00,2024-01-30 14:10:00,1.4801826484018266,5.2,1.1666666666666667,tp
harmonic,2024-01-31 11:55:00,2024-01-31 14:00:00,0.9872221722307207,4.53,2.0833333333333335,time
fvg,2024-02-06 17:45:00,2024-02-06 18:20:00,-1.035580154180668,2.89,0.5833333333333334,sl
fvg,2024-02-06 18:55:00,2024-02-06 19:00:00,-1.1942474782782384,0.53,0.08333333333333333,sl
harmonic,2024-02-07 14:05:00,2024-02-07 16:10:00,0.7475494564248797,6.41,2.0833333333333335,time
harmonic,2024-02-09 01:15:00,2024-02-09 03:25:00,0.052184680700513006,3.74,2.1666666666666665,time
harmonic,2024-02-29 05:20:00,2024-02-29 07:25:00,0.7239214992927864,1.84,2.0833333333333335,time
harmonic,2024-03-01 20:25:00,2024-03-01 22:30:00,-0.5461646480603827,3.88,2.0833333333333335,time
fib,2024-03-07 07:45:00,2024-03-07 07:55:00,0.5364815565464126,3.54,0.16666666666666666,time
fvg,2024-03-07 07:25:00,2024-03-07 09:40:00,0.24873660804527997,4.78,2.25,time
harmonic,2024-03-07 07:25:00,2024-03-07 09:40:00,0.24876456053653373,4.78,2.25,time
fvg,2024-04-01 22:25:00,2024-04-01 23:15:00,-1.0232909860859043,4.66,0.8333333333333334,sl
fvg,2024-04-12 03:35:00,2024-04-12 05:40:00,0.26851380258734847,12.82,2.0833333333333335,time
fib,2024-04-12 12:50:00,2024-04-12 13:00:00,0.5327083963310151,6.5,0.16666666666666666,time
fvg,2024-04-12 12:50:00,2024-04-12 13:50:00,1.4826780453113886,6.5,1.0,tp
harmonic,2024-04-15 05:45:00,2024-04-15 06:50:00,-1.0292253521126762,3.81,1.0833333333333333,sl
threevol,2024-04-15 05:45:00,2024-04-15 06:50:00,-1.0292466765140325,3.81,1.0833333333333333,sl
threevol,2024-04-18 08:05:00,2024-04-18 10:10:00,-0.5650746268656717,3.41,2.0833333333333335,time
harmonic,2024-04-23 19:30:00,2024-04-23 21:35:00,-0.18447033709863914,4.42,2.0833333333333335,time
threevol,2024-04-24 04:00:00,2024-04-24 04:55:00,-1.0265185629940958,4.17,0.9166666666666666,sl
harmonic,2024-05-01 17:35:00,2024-05-01 18:00:00,-1.0238816610229906,4.6,0.4166666666666667,sl
harmonic,2024-05-01 18:00:00,2024-05-01 18:40:00,1.4890609525524443,9.59,0.6666666666666666,tp
harmonic,2024-05-01 18:40:00,2024-05-01 20:45:00,-0.14938348265767762,27.61,2.0833333333333335,time
fib,2024-05-02 02:55:00,2024-05-02 03:05:00,-0.6012632845398035,4.15,0.16666666666666666,time
fvg,2024-05-02 02:50:00,2024-05-02 05:00:00,-0.620782861147262,4.1,2.1666666666666665,time
fvg,2024-05-06 12:40:00,2024-05-06 14:55:00,-0.49229374433363554,6.92,2.25,time
harmonic,2024-05-15 07:05:00,2024-05-15 08:25:00,1.4750355366027008,4.06,1.3333333333333333,tp
fvg,2024-05-20 00:25:00,2024-05-20 01:00:00,1.4773233448066412,4.54,0.5833333333333334,tp
threevol,2024-05-20 00:25:00,2024-05-20 01:00:00,1.4773025983217067,4.54,0.5833333333333334,tp
fvg,2024-05-20 01:00:00,2024-05-20 03:05:00,-0.16330806065442938,19.64,2.0833333333333335,time
threevol,2024-05-20 03:35:00,2024-05-20 05:30:00,1.478230546976188,4.99,1.9166666666666667,tp
fvg,2024-06-06 19:50:00,2024-06-06 21:55:00,1.0305755395683454,3.05,2.0833333333333335,time
threevol,2024-06-14 19:35:00,2024-06-14 19:50:00,-1.0542955326460481,2.04,0.25,sl
threevol,2024-06-18 23:30:00,2024-06-19 01:05:00,-1.0732288152411191,1.51,1.5833333333333333,sl
threevol,2024-06-20 14:00:00,2024-06-20 14:40:00,1.4779338014042125,5.27,0.6666666666666666,tp
threevol,2024-06-24 02:35:00,2024-06-24 04:40:00,0.6054166254818621,2.87,2.0833333333333335,time
threevol,2024-06-24 07:30:00,2024-06-24 09:30:00,-1.0255452937708782,4.33,2.0,sl
harmonic,2024-06-24 12:00:00,2024-06-24 14:05:00,0.677376991770268,6.62,2.0833333333333335,time
harmonic,2024-07-05 14:05:00,2024-07-05 16:10:00,0.24619532133228977,30.56,2.0833333333333335,time
harmonic,2024-07-11 11:55:00,2024-07-11 12:25:00,-1.059854267869535,1.87,0.5,sl
harmonic,2024-07-11 12:30:00,2024-07-11 14:35:00,0.40841736080666374,20.36,2.0833333333333335,time
fvg,2024-07-16 04:40:00,2024-07-16 05:40:00,1.458807239639996,2.87,1.0,tp
fvg,2024-07-16 05:40:00,2024-07-16 07:45:00,1.0692075250999122,6.09,2.0833333333333335,time
threevol,2024-07-23 14:30:00,2024-07-23 16:35:00,-0.4386539606908874,5.58,2.0833333333333335,time
harmonic,2024-07-29 03:40:00,2024-07-29 05:45:00,-0.20127488648271047,6.63,2.0833333333333335,time
fib,2024-08-20 14:20:00,2024-08-20 14:30:00,0.5532580189630826,4.27,0.16666666666666666,time
fvg,2024-08-20 14:15:00,2024-08-20 15:00:00,-1.0164930555555556,7.0,0.75,sl
fvg,2024-08-23 20:15:00,2024-08-23 22:20:00,0.4824125499366657,2.01,2.0833333333333335,time
threevol,2024-08-23 20:15:00,2024-08-23 22:20:00,0.4824526420737787,2.01,2.0833333333333335,time
fvg,2024-08-29 03:00:00,2024-08-29 05:15:00,0.33456167571761053,7.77,2.25,time
harmonic,2024-09-16 13:35:00,2024-09-16 15:40:00,-0.4890191617814332,10.31,2.0833333333333335,time
fvg,2024-09-19 06:00:00,2024-09-19 08:05:00,0.9600850488064173,6.07,2.0833333333333335,time
harmonic,2024-09-24 13:00:00,2024-09-24 15:05:00,0.9057416688648554,12.03,2.0833333333333335,time
harmonic,2024-10-02 23:50:00,2024-10-03 01:30:00,-1.03224119902405,3.69,1.6666666666666667,sl
fvg,2024-10-02 23:50:00,2024-10-03 01:30:00,-1.0322611525942944,3.69,1.6666666666666667,sl
harmonic,2024-10-11 07:45:00,2024-10-11 08:15:00,-1.0404120443740095,2.94,0.5,sl
harmonic,2024-10-25 15:15:00,2024-10-25 17:30:00,0.23320580122786724,9.92,2.25,time
harmonic,2024-10-28 23:25:00,2024-10-29 00:30:00,1.4630747381501865,3.15,1.0833333333333333,tp
harmonic,2024-11-07 20:20:00,2024-11-07 20:40:00,-1.0196850393700787,6.12,0.3333333333333333,sl
threevol,2024-11-07 20:20:00,2024-11-07 20:40:00,-1.019646755308593,6.12,0.3333333333333333,sl
fvg,2024-11-07 20:20:00,2024-11-07 20:40:00,-1.0196362932869028,6.12,0.3333333333333333,sl
harmonic,2024-11-07 21:05:00,2024-11-07 23:10:00,-0.5684992045253667,2.56,2.0833333333333335,time
threevol,2024-11-17 23:10:00,2024-11-18 01:15:00,1.219749373433584,6.77,2.0833333333333335,time
harmonic,2024-11-18 08:50:00,2024-11-18 09:45:00,1.4804444444444445,6.52,0.9166666666666666,tp
threevol,2024-11-18 13:35:00,2024-11-18 15:20:00,1.478161830246608,5.17,1.75,tp
threevol,2024-11-19 02:35:00,2024-11-19 04:40:00,0.4052313097794262,4.36,2.0833333333333335,time
threevol,2024-11-19 06:50:00,2024-11-19 07:05:00,-1.0225505443234837,5.25,0.25,sl
fvg,2024-11-19 06:50:00,2024-11-19 07:05:00,-1.0224763021596794,5.25,0.25,sl
threevol,2024-11-19 12:20:00,2024-11-19 13:25:00,-1.0223902582735933,5.3,1.0833333333333333,sl
threevol,2024-11-22 06:55:00,2024-11-22 08:15:00,1.4713761285841849,4.2,1.3333333333333333,tp
threevol,2024-11-22 17:50:00,2024-11-22 18:30:00,1.4601544930087027,3.02,0.6666666666666666,tp
threevol,2024-11-22 21:15:00,2024-11-22 21:50:00,1.460196607555898,3.15,0.5833333333333334,tp
fvg,2024-11-27 02:00:00,2024-11-27 04:05:00,0.9471761453396526,5.94,2.0833333333333335,time
threevol,2024-11-27 08:50:00,2024-11-27 10:55:00,-0.6622340425531915,5.09,2.0833333333333335,time
threevol,2024-11-29 02:10:00,2024-11-29 04:15:00,0.4200611971696309,10.13,2.0833333333333335,time
harmonic,2024-12-03 16:20:00,2024-12-03 18:25:00,0.32288016818500354,4.2,2.0833333333333335,time
threevol,2024-12-03 16:20:00,2024-12-03 18:25:00,0.3228908779280137,4.2,2.0833333333333335,time
threevol,2024-12-09 01:10:00,2024-12-09 03:15:00,0.2076689445709947,10.48,2.0833333333333335,time
threevol,2024-12-09 13:00:00,2024-12-09 13:45:00,1.4741428300814547,4.41,0.75,tp
fvg,2024-12-09 13:00:00,2024-12-09 13:45:00,1.4740805946791864,4.41,0.75,tp
fvg,2024-12-09 13:45:00,2024-12-09 15:50:00,0.31865060240963855,10.72,2.0833333333333335,time
threevol,2024-12-10 13:45:00,2024-12-10 14:30:00,1.4749369924390927,4.78,0.75,tp
threevol,2024-12-11 15:00:00,2024-12-11 17:05:00,1.4818323981234478,6.64,2.0833333333333335,tp
harmonic,2024-12-20 11:55:00,2024-12-20 13:45:00,1.4814459093687242,5.8,1.8333333333333333,tp
harmonic,2025-01-06 12:00:00,2025-01-06 13:30:00,-1.02546674696722,4.66,1.5,sl
harmonic,2025-01-07 16:30:00,2025-01-07 18:35:00,-0.16221855168216986,9.64,2.0833333333333335,time
fvg,2025-01-07 16:30:00,2025-01-07 18:35:00,-0.16218293620292082,9.64,2.0833333333333335,time
harmonic,2025-01-10 13:45:00,2025-01-10 15:50:00,1.1678711362646932,12.83,2.0833333333333335,time
fvg,2025-01-20 14:40:00,2025-01-20 16:45:00,-0.1766913675295929,7.5,2.0833333333333335,time
fvg,2025-01-24 05:35:00,2025-01-24 07:40:00,-0.20611202159452424,6.05,2.0833333333333335,time
harmonic,2025-02-07 14:20:00,2025-02-07 15:30:00,1.4845511661933042,8.39,1.1666666666666667,tp
harmonic,2025-03-03 04:40:00,2025-03-03 05:30:00,-1.0391824272750403,3.18,0.8333333333333334,sl
fvg,2025-03-13 14:00:00,2025-03-13 14:40:00,1.4802434547386725,6.67,0.6666666666666666,tp
fvg,2025-03-13 14:40:00,2025-03-13 16:45:00,0.8990004759638267,19.14,2.0833333333333335,time
harmonic,2025-03-14 03:55:00,2025-03-14 04:45:00,-1.02982260690719,4.28,0.8333333333333334,sl
fvg,2025-03-17 00:20:00,2025-03-17 02:25:00,0.05038211151995471,6.55,2.0833333333333335,time
harmonic,2025-03-18 01:35:00,2025-03-18 02:45:00,1.4725950298727162,4.49,1.1666666666666667,tp
harmonic,2025-04-02 12:25:00,2025-04-02 14:30:00,-0.028415393804932163,17.09,2.0833333333333335,time
harmonic,2025-04-02 20:25:00,2025-04-02 22:30:00,0.5836107554417413,11.04,2.0833333333333335,time
harmonic,2025-04-02 22:45:00,2025-04-03 00:50:00,0.13603190767141887,41.64,2.0833333333333335,time
fvg,2025-04-02 22:45:00,2025-04-03 00:50:00,0.13598642021878535,41.64,2.0833333333333335,time
threevol,2025-04-10 00:20:00,2025-04-10 01:15:00,-1.0147751994198695,8.83,0.9166666666666666,sl
threevol,2025-04-10 18:40:00,2025-04-10 20:45:00,-0.14615384615384616,6.62,2.0833333333333335,time
fvg,2025-04-16 20:25:00,2025-04-16 22:00:00,1.4704774460872023,4.64,1.5833333333333333,tp
threevol,2025-04-16 20:25:00,2025-04-16 22:00:00,1.4705181109582761,4.64,1.5833333333333333,tp
fvg,2025-04-16 22:00:00,2025-04-17 00:05:00,-0.2536426914153132,14.32,2.0833333333333335,time
threevol,2025-04-24 19:40:00,2025-04-24 20:50:00,1.4719385449615905,4.71,1.1666666666666667,tp
fvg,2025-05-05 23:30:00,2025-05-06 00:20:00,-1.019538518794194,7.0,0.8333333333333334,sl
fvg,2025-05-06 06:40:00,2025-05-06 08:45:00,0.6122391426959954,18.47,2.0833333333333335,time
harmonic,2025-05-08 01:00:00,2025-05-08 03:05:00,0.625593220338983,16.81,2.0833333333333335,time
harmonic,2025-05-13 22:35:00,2025-05-14 00:05:00,-1.026696985009264,5.03,1.5,sl
threevol,2025-05-15 15:25:00,2025-05-15 17:05:00,1.481296758104738,7.41,1.6666666666666667,tp
threevol,2025-06-04 01:20:00,2025-06-04 03:25:00,0.2761979989468141,8.03,2.0833333333333335,time
fvg,2025-06-06 05:55:00,2025-06-06 06:45:00,-1.0170980099037652,8.03,0.8333333333333334,sl
harmonic,2025-06-06 05:00:00,2025-06-06 07:05:00,-0.8382402995234854,20.08,2.0833333333333335,time
harmonic,2025-06-09 14:40:00,2025-06-09 15:40:00,1.4848536857461598,9.0,1.0,tp
harmonic,2025-06-09 15:40:00,2025-06-09 17:45:00,0.2432775240994419,21.0,2.0833333333333335,time
harmonic,2025-06-10 12:30:00,2025-06-10 14:35:00,-0.4016870518768452,14.22,2.0833333333333335,time
threevol,2025-06-11 02:15:00,2025-06-11 04:20:00,0.554087169613163,7.69,2.0833333333333335,time
fvg,2025-06-13 03:25:00,2025-06-13 05:30:00,-0.1653766282801586,48.68,2.0833333333333335,time
harmonic,2025-06-18 15:00:00,2025-06-18 17:05:00,0.08486491064622681,13.9,2.0833333333333335,time
harmonic,2025-06-25 06:00:00,2025-06-25 08:05:00,-0.2388931200812389,10.18,2.0833333333333335,time
harmonic,2025-06-25 18:20:00,2025-06-25 19:35:00,1.462804309101705,3.81,1.25,tp
harmonic,2025-06-25 19:35:00,2025-06-25 21:40:00,-0.3154154823608092,9.01,2.0833333333333335,time
harmonic,2025-07-11 00:10:00,2025-07-11 00:30:00,1.4702281113720228,4.92,0.3333333333333333,tp
harmonic,2025-07-11 00:30:00,2025-07-11 02:35:00,-0.059757004711133155,10.73,2.0833333333333335,time
harmonic,2025-07-31 12:15:00,2025-07-31 14:20:00,-0.6845848494872643,14.75,2.0833333333333335,time
fvg,2025-08-28 11:55:00,2025-08-28 12:55:00,-1.0209889382622672,6.6,1.0,sl
fvg,2025-09-01 07:55:00,2025-09-01 09:20:00,-1.0201547425733117,6.95,1.4166666666666667,sl
fvg,2025-09-09 04:05:00,2025-09-09 04:40:00,1.4659332175255742,4.26,0.5833333333333334,tp
fvg,2025-09-09 04:40:00,2025-09-09 06:05:00,-1.0131253566673006,11.01,1.4166666666666667,sl
