s,entry,exit,r,px,sl,dir,conf,reason
fvg,2022-02-07 01:35:00,2022-02-20 23:00:00,4.9282,1810.03,1790.87,bull,EMA,tp
fvg,2022-02-07 01:40:00,2022-02-20 23:00:00,4.9265,1809.55,1790.87,bull,EMA,tp
fvg,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.089758761948111,1905.72,1890.39,bull,EMA,sl
fvg,2022-02-22 01:10:00,2022-02-23 09:30:00,-1.0892125625853437,1905.82,1890.39,bull,EMA,sl
fib,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0898,1905.72,1890.39,bull,FIB618,sl
harmonic,2022-03-04 02:20:00,2022-03-08 14:35:00,4.9149,1937.15,1920.36,bull,EMA+PRZ,tp
fib,2022-03-04 15:00:00,2022-03-08 14:35:00,4.904761904761905,1946.38,1931.15,bull,FIB618,tp
harmonic,2022-03-04 02:25:00,2022-03-08 14:35:00,4.9196,1938.17,1920.36,bull,EMA+PRZ,tp
fvg,2022-03-04 14:40:00,2022-03-08 15:05:00,4.932346919784106,1952.85,1931.41,bull,EMA,tp
fvg,2022-03-04 14:35:00,2022-03-15 05:15:00,-1.0515540666294436,1958.7,1931.41,bull,EMA,sl
harmonic,2022-03-21 07:40:00,2022-03-22 14:00:00,-1.16707639078576,1924.74,1916.4,bull,EMA+PRZ,sl
harmonic,2022-03-21 07:30:00,2022-03-22 14:00:00,-1.1660748429390877,1924.79,1916.4,bull,EMA+PRZ,sl
fvg,2022-03-24 12:30:00,2022-03-28 05:50:00,-1.1448535339962376,1945.14,1935.43,bull,EMA,sl
fvg,2022-03-24 12:35:00,2022-03-28 05:50:00,-1.1295350712174148,1946.29,1935.43,bull,EMA,sl
harmonic,2022-04-08 17:20:00,2022-04-22 15:10:00,-1.0967651719958984,1941.21,1926.73,bull,EMA+PRZ,sl
harmonic,2022-04-08 17:30:00,2022-04-22 15:10:00,-1.1002144122308195,1940.72,1926.73,bull,EMA+PRZ,sl
harmonic,2022-05-04 07:00:00,2022-05-05 12:45:00,4.827392298894396,1867.51,1859.65,bull,EMA+PRZ,tp
harmonic,2022-05-04 07:30:00,2022-05-09 10:20:00,-1.125810141059855,1870.41,1859.65,bull,EMA+PRZ,sl
harmonic,2022-05-18 01:40:00,2022-05-19 12:35:00,-1.0533088235294117,1812.87,1837.84,bear,EMA+PRZ,sl
harmonic,2022-05-18 01:20:00,2022-05-19 12:35:00,-1.0572610294117648,1814.57,1837.84,bear,EMA+PRZ,sl
harmonic,2022-05-31 00:55:00,2022-06-02 13:25:00,-1.0848826291079814,1846.63,1862.54,bear,EMA+PRZ,sl
harmonic,2022-05-31 00:35:00,2022-06-02 13:25:00,-1.0978403755868544,1848.73,1862.54,bear,EMA+PRZ,sl
harmonic,2022-06-09 19:25:00,2022-06-10 14:45:00,-1.2019581493568823,1847.78,1854.45,bear,EMA+PRZ,sl
harmonic,2022-06-09 19:30:00,2022-06-10 14:45:00,-1.2009982722211556,1847.75,1854.45,bear,EMA+PRZ,sl
