entry,exit,r,saat
2025-10-20 04:55:00,2025-10-21 12:45:00,-1.0030238548549668,4
2025-10-23 12:35:00,2025-10-23 19:35:00,-0.008807935693518044,12
2025-10-29 08:05:00,2025-10-29 13:30:00,-0.013683400324980758,8
2025-11-10 14:40:00,2025-11-10 18:15:00,1.9885537790697676,14
2025-11-05 11:55:00,2025-11-12 15:30:00,4.996775835737315,11
2025-11-13 13:00:00,2025-11-13 14:40:00,-1.0048098334372495,13
2025-11-13 12:50:00,2025-11-13 14:40:00,-1.0038248127996552,12
2025-11-17 01:30:00,2025-11-17 02:00:00,-1.0165084252844068,1
2025-11-19 12:50:00,2025-11-19 16:25:00,-1.0036460600783632,12
2025-11-25 02:45:00,2025-11-25 03:15:00,-1.0139128931904597,2
2025-12-03 15:00:00,2025-12-04 03:00:00,-1.005828185103159,15
2025-12-04 16:40:00,2025-12-08 15:05:00,-1.0051218650653477,16
2025-12-10 20:00:00,2025-12-22 13:10:00,4.9961938745168,20
2025-12-10 20:00:00,2025-12-22 13:10:00,4.996207124010554,20
2025-12-26 02:30:00,2025-12-29 11:40:00,-1.0030888435160463,2
2026-01-02 02:55:00,2026-01-02 07:55:00,1.9834133566128327,2
2026-01-05 05:55:00,2026-01-05 08:15:00,1.9808252011641845,5
2026-01-11 23:25:00,2026-01-12 00:15:00,1.9801897087215647,23
2026-01-02 05:55:00,2026-01-21 00:30:00,4.998149029562642,5
2026-01-23 19:50:00,2026-01-23 20:05:00,-1.0138282986254012,19
2026-01-26 01:30:00,2026-01-26 04:45:00,-1.0092300016630633,1
2026-01-26 06:40:00,2026-01-26 07:00:00,-1.0110037799244016,6
2026-01-23 19:00:00,2026-01-28 21:45:00,4.997834189583963,19
2026-01-28 23:15:00,2026-01-28 23:35:00,1.9958418194161573,23
2026-01-29 03:50:00,2026-01-29 05:20:00,-0.009983361064891847,3
2026-02-04 00:10:00,2026-02-04 01:10:00,1.9946746546846397,0
2026-02-04 03:35:00,2026-02-04 08:35:00,-0.008647413933757547,3
2026-02-06 18:35:00,2026-02-06 19:35:00,-1.0114220445459738,18
2026-02-11 05:35:00,2026-02-11 05:50:00,-1.0151652517926317,5
2026-02-11 12:50:00,2026-02-11 13:30:00,-1.004413105003118,12
2026-02-22 23:10:00,2026-02-23 16:15:00,1.9941715237302249,23
2026-02-23 14:05:00,2026-02-23 20:00:00,1.9947182245481416,14
2026-03-02 13:05:00,2026-03-02 14:25:00,-1.0028979999049836,13
2026-03-02 13:10:00,2026-03-02 14:25:00,-1.003688708951867,13
2026-03-05 02:55:00,2026-03-05 04:00:00,-1.012817372846763,2
2026-03-06 15:00:00,2026-03-08 23:40:00,-1.0019258000566411,15
2026-03-09 23:20:00,2026-03-13 14:55:00,-1.0019195700163164,23
2026-03-10 00:00:00,2026-03-13 14:55:00,-1.0021812233027356,0
2026-03-17 01:55:00,2026-03-17 05:45:00,-0.01814432989690722,1
2026-04-07 17:00:00,2026-04-07 22:50:00,1.9975969790593888,17
2026-04-13 18:50:00,2026-04-13 19:05:00,-1.0215293244246473,18
2026-04-14 13:20:00,2026-04-14 14:35:00,1.9863321943495293,13
2026-04-16 06:45:00,2026-04-16 08:00:00,-1.0138094459879066,6
2026-04-17 12:00:00,2026-04-19 22:00:00,-1.005553374095473,12
2026-04-13 18:50:00,2026-04-21 19:40:00,-1.0036841339861362,18
2026-04-30 06:55:00,2026-04-30 08:00:00,1.9881954763084035,6
2026-05-18 00:05:00,2026-05-18 00:40:00,1.991500728508985,0
2026-05-19 13:25:00,2026-05-20 10:05:00,-0.005634473454487738,13
2026-05-26 04:30:00,2026-05-26 05:05:00,-0.02253968253968254,4
2026-06-03 04:35:00,2026-06-03 06:45:00,1.9802333889021195,4
2026-06-03 15:10:00,2026-06-03 17:05:00,-0.017515179822512845,15
2026-06-05 01:40:00,2026-06-05 06:25:00,-0.013235752102148864,1
2026-06-01 11:55:00,2026-06-08 05:35:00,4.995935755557732,11
2026-06-09 19:15:00,2026-06-09 23:15:00,1.98543840523283,19
2026-06-18 12:35:00,2026-06-18 13:15:00,-1.0089333435137817,12
2026-06-18 13:30:00,2026-06-19 03:55:00,1.99733773983292,13
2026-06-23 01:40:00,2026-06-23 04:55:00,1.9912070960277672,1
2026-06-18 13:05:00,2026-06-23 23:35:00,1.998041227497435,13
2026-06-30 00:40:00,2026-06-30 01:05:00,1.9867654843832716,0
2026-06-29 12:10:00,2026-07-01 13:40:00,-1.0058067760962004,12
2026-07-10 16:55:00,2026-07-10 19:45:00,-0.02543378318255969,16
2026-06-23 01:40:00,2026-07-12 23:55:00,0.0,1
