s,entry,exit,r
fvg,2024-02-06 17:45:00,2024-02-08 14:00:00,-1.0891063829787233
harmonic,2024-02-09 01:15:00,2024-02-12 14:05:00,-1.0936602011494254
harmonic,2024-02-29 05:20:00,2024-02-29 11:45:00,-1.2595787179952787
fib,2024-03-07 07:45:00,2024-03-20 22:15:00,4.870431011593946
fvg,2024-03-07 07:25:00,2024-03-20 22:15:00,4.882034073309241
harmonic,2024-03-01 20:25:00,2024-04-03 16:25:00,4.961011494252873
fvg,2024-04-01 22:25:00,2024-04-12 07:55:00,4.941263330598852
fib,2024-04-12 12:50:00,2024-04-12 16:15:00,-1.1087855515233354
fvg,2024-04-12 12:50:00,2024-04-12 16:15:00,-1.1088180112570356
threevol,2024-04-15 05:45:00,2024-04-15 05:50:00,-0.45961896873058605
harmonic,2024-04-15 05:45:00,2024-04-15 08:30:00,-1.132544897065265
threevol,2024-04-24 04:00:00,2024-04-24 04:55:00,-1.4124622906480808
harmonic,2024-04-23 19:30:00,2024-04-30 20:30:00,-1.0480241006556796
fib,2024-05-02 02:55:00,2024-05-02 13:00:00,-1.0606758832565284
fvg,2024-05-02 02:50:00,2024-05-02 13:00:00,-1.0607905138339921
harmonic,2024-05-01 17:35:00,2024-05-03 13:35:00,-1.075132085609385
threevol,2024-05-20 00:25:00,2024-05-20 01:00:00,1.6074066258704367
threevol,2024-05-20 03:35:00,2024-05-20 05:35:00,1.6399792315680168
fvg,2024-05-06 12:40:00,2024-06-07 19:55:00,-1.0474592521572388
threevol,2024-06-20 14:00:00,2024-06-20 14:45:00,1.6709235798937476
threevol,2024-06-24 07:30:00,2024-06-24 09:30:00,-1.3976484775399458
harmonic,2024-06-24 12:00:00,2024-06-25 15:30:00,-1.2206028786095773
fvg,2024-07-16 04:40:00,2024-07-17 01:50:00,4.826645135244247
threevol,2024-07-23 14:30:00,2024-07-24 01:25:00,-0.3164492458214431
harmonic,2024-07-05 14:05:00,2024-08-20 13:30:00,4.940890762463343
fib,2024-08-20 14:20:00,2024-08-21 14:00:00,-1.0635728456827396
fvg,2024-08-20 14:15:00,2024-08-21 14:00:00,-1.057998921666795
fvg,2024-08-23 20:15:00,2024-09-02 02:30:00,-1.0918645387310237
harmonic,2024-09-16 13:35:00,2024-09-17 09:40:00,-1.1628536500174642
harmonic,2024-09-24 13:00:00,2024-10-08 15:00:00,-1.1308535076868704
fvg,2024-09-19 06:00:00,2024-10-18 18:45:00,4.933805588351043
harmonic,2024-10-11 07:45:00,2024-10-22 13:45:00,4.899553172475424
harmonic,2024-10-25 15:15:00,2024-11-06 06:30:00,-1.0778601243717523
threevol,2024-11-07 20:20:00,2024-11-07 20:40:00,-1.3233820672732848
harmonic,2024-11-07 20:45:00,2024-11-11 13:30:00,-1.0355666551842921
fvg,2024-11-07 20:45:00,2024-11-11 13:30:00,-1.0355535553555357
threevol,2024-11-17 23:10:00,2024-11-18 01:20:00,1.7215084956485702
threevol,2024-11-18 13:35:00,2024-11-18 15:55:00,1.6290486860867792
harmonic,2024-11-18 08:50:00,2024-11-19 01:10:00,4.704229028889662
threevol,2024-11-19 02:35:00,2024-11-19 07:00:00,-0.4425736620565243
threevol,2024-11-19 12:20:00,2024-11-19 13:25:00,-1.3645057378699417
threevol,2024-11-22 06:55:00,2024-11-22 09:30:00,1.5271483976321698
threevol,2024-11-27 08:50:00,2024-11-27 11:10:00,-1.3822878970647365
threevol,2024-11-29 02:10:00,2024-11-29 08:40:00,-0.190519877675841
threevol,2024-12-03 16:20:00,2024-12-03 17:35:00,-0.4646650326797386
harmonic,2024-12-03 16:20:00,2024-12-04 13:00:00,-1.2515791223404256
threevol,2024-12-09 01:10:00,2024-12-09 13:45:00,1.815924481838703
threevol,2024-12-10 13:45:00,2024-12-10 14:35:00,1.5897410057442305
threevol,2024-12-11 15:00:00,2024-12-12 00:55:00,1.7014185100684456
harmonic,2024-12-20 11:55:00,2025-01-10 14:00:00,4.882006396229592
harmonic,2025-01-10 14:00:00,2025-01-13 12:30:00,-1.1065639544214412
fvg,2024-11-19 06:50:00,2025-02-05 08:40:00,4.958693345460057
harmonic,2025-02-07 14:20:00,2025-02-07 17:20:00,-1.1332359623498864
harmonic,2025-03-03 04:40:00,2025-03-13 02:40:00,4.859980302035456
fvg,2025-03-13 14:00:00,2025-03-28 01:00:00,4.902224147891393
fvg,2025-04-02 22:45:00,2025-04-03 10:30:00,-1.0536931231499964
threevol,2025-04-10 00:20:00,2025-04-10 01:15:00,-1.2535115099492782
threevol,2025-04-10 18:40:00,2025-04-10 22:30:00,1.6501382852627422
harmonic,2025-03-14 03:55:00,2025-04-16 01:05:00,4.959301870548642
fvg,2025-04-16 20:25:00,2025-04-17 14:35:00,-1.047029358564074
harmonic,2025-05-08 01:00:00,2025-05-08 05:55:00,-1.068903803131991
fvg,2025-05-05 23:30:00,2025-05-08 17:05:00,-1.076631046119235
fib,2025-05-06 00:20:00,2025-05-08 17:05:00,-1.0977332170880558
harmonic,2025-05-13 22:35:00,2025-05-14 11:55:00,-1.0755257405592824
threevol,2025-05-15 15:25:00,2025-05-15 19:40:00,1.6842872412787875
threevol,2025-06-04 01:20:00,2025-06-04 02:40:00,-0.30313455657492355
fvg,2025-06-06 05:55:00,2025-06-06 12:30:00,-1.1769012082444918
harmonic,2025-06-06 05:00:00,2025-06-06 12:30:00,-1.1079701310576042
harmonic,2025-06-09 14:40:00,2025-06-10 01:30:00,-1.2507897372678944
threevol,2025-06-11 02:15:00,2025-06-11 09:05:00,-0.3141953417042078
fvg,2025-06-13 03:25:00,2025-06-17 03:20:00,-1.0437252786767348
harmonic,2025-06-10 12:30:00,2025-06-24 13:40:00,-1.0583645443196004
harmonic,2025-06-25 06:00:00,2025-06-25 13:00:00,-1.1582682753726046
harmonic,2025-06-25 18:20:00,2025-06-27 03:05:00,-1.1095420456358704
harmonic,2025-07-11 00:10:00,2025-07-22 14:25:00,4.8730939895119
fvg,2025-08-28 11:55:00,2025-09-09 00:00:00,4.869331395348837
harmonic,2025-07-31 12:15:00,2025-09-09 00:00:00,4.942303254096469
harmonic,2025-09-09 13:30:00,2025-09-09 15:15:00,-1.0818121838574883
threevol,2025-09-16 00:15:00,2025-09-16 01:00:00,-0.46740384615384617
harmonic,2025-09-15 11:55:00,2025-09-16 14:15:00,4.783088780198606
threevol,2025-09-22 06:35:00,2025-09-22 12:20:00,-0.2662544681673268
threevol,2025-09-23 08:40:00,2025-09-23 09:20:00,1.6629213483146068
harmonic,2025-09-25 11:55:00,2025-09-25 13:40:00,-1.0968951128085438
threevol,2025-09-26 00:55:00,2025-09-26 01:15:00,-1.4343973320628869
threevol,2025-09-29 08:10:00,2025-09-29 09:45:00,-1.3702271628806186
fib,2025-09-30 06:55:00,2025-09-30 08:20:00,-1.0803067700987306
fvg,2025-09-22 22:45:00,2025-10-05 22:55:00,4.914206514206514
harmonic,2025-09-26 00:55:00,2025-10-05 23:00:00,4.912685926773455
fvg,2025-10-08 01:55:00,2025-10-09 17:10:00,-1.065922451945307
fvg,2025-10-15 00:25:00,2025-10-16 16:25:00,4.889230152901114
threevol,2025-10-20 15:10:00,2025-10-20 19:40:00,1.736940115652259
fvg,2025-10-20 04:55:00,2025-10-21 12:45:00,-1.0567154678548696
threevol,2025-10-23 12:35:00,2025-10-23 19:35:00,-0.16522157996146433
threevol,2025-10-29 08:05:00,2025-10-29 13:30:00,-0.2555244620283702
fib,2025-11-10 14:40:00,2025-11-12 15:10:00,4.794243450365354
fvg,2025-11-05 11:55:00,2025-11-12 15:30:00,4.931227483273289
fvg,2025-11-13 12:50:00,2025-11-13 14:40:00,-1.07161250766401
fib,2025-11-13 13:00:00,2025-11-13 14:40:00,-1.0909863945578233
threevol,2025-11-17 01:30:00,2025-11-17 02:00:00,-1.3100512721292443
fvg,2025-11-19 12:50:00,2025-11-19 16:25:00,-1.0679888441276728
threevol,2025-11-25 02:45:00,2025-11-25 03:15:00,-1.261739045191648
harmonic,2025-12-03 15:00:00,2025-12-04 03:00:00,-1.1101492740781131
harmonic,2025-12-04 16:40:00,2025-12-08 15:05:00,-1.0968431210366694
harmonic,2025-12-10 20:00:00,2025-12-22 13:10:00,4.922851766673635
fvg,2025-12-10 20:00:00,2025-12-22 13:10:00,4.922884169642298
fvg,2025-12-26 02:30:00,2025-12-29 11:40:00,-1.0589288912770911
threevol,2026-01-02 02:55:00,2026-01-02 07:55:00,1.681294678316124
threevol,2026-01-05 05:55:00,2026-01-05 08:15:00,1.629369263815661
