ym,rej,er,chg,atrp,above,R,pnl,n,sl,tp,be,lng,stoppct
2023-07,ZAYIF-BOGA,0.2369160303709695,2.3066487873644625,0.7180900915885429,0.967741935483871,-2.252856464572976,-302.83091636699316,2.0,2.0,0.0,0.0,2.0,100.0
2023-08,YATAY,0.0834651682941469,-0.6270347251216002,0.6581225966913741,0.3225806451612903,-2.398911446636371,-315.1324371060657,2.0,2.0,0.0,0.0,0.0,100.0
2023-09,AYI,0.5588462528972481,-4.69978414201867,0.5487980105774636,0.4,4.331068674256335,558.718835068324,1.0,0.0,1.0,0.0,0.0,0.0
2023-10,BOGA,0.4579444944474146,7.3224637975203954,0.9707727616605675,0.6129032258064516,-2.5137807701328154,-335.800630281389,3.0,2.0,0.0,1.0,2.0,66.66666666666667
2023-11,ZAYIF-BOGA,0.2425295773156763,2.769738416392742,0.8356939456993967,1.0,2.7695369927688707,351.26164585316036,3.0,2.0,1.0,0.0,3.0,66.66666666666667
2023-12,YATAY,0.02410557058798271,-0.4334671385569533,1.1262611387946249,1.0,8.479919054682881,1156.9983768599557,3.0,1.0,2.0,0.0,3.0,33.333333333333336
2024-01,YATAY,0.12351383624941432,-1.1528313178572391,0.7752670030652693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-02,YATAY,0.06871152870137812,-0.5139323857704992,0.7392052182829806,1.0,-5.868804440920726,-838.7847966902582,5.0,5.0,0.0,0.0,5.0,100.0
2024-03,BOGA,0.4752478125635893,7.851056115674515,0.926315359129616,1.0,9.752465084903188,1377.9186870656736,2.0,0.0,2.0,0.0,2.0,0.0
2024-04,YATAY,0.09053234213449568,1.8844894247593835,1.3914885416818756,1.0,3.6320210049717425,518.2620163636332,8.0,5.0,2.0,1.0,8.0,62.5
2024-05,YATAY,0.007729306204397159,0.14447172924525464,1.149566156275412,1.0,0.05078737473854833,1.1845364023089076,5.0,3.0,2.0,0.0,5.0,60.0
2024-06,YATAY,0.00511662123798672,-0.09325331597188624,1.069965426674671,1.0,-1.9947870284130143,-315.5248519040741,4.0,3.0,1.0,0.0,4.0,75.0
2024-07,ZAYIF-BOGA,0.2351162116253061,4.866778895588508,1.0118505173111003,1.0,4.510195889422804,691.0712107087725,2.0,0.0,1.0,1.0,2.0,0.0
2024-08,YATAY,0.15672418515475345,2.3396116866098104,1.1928057872028617,1.0,2.8193189951138082,437.9958052157815,3.0,2.0,1.0,0.0,3.0,66.66666666666667
2024-09,BOGA,0.38319829522814125,5.302281167532663,0.8715650814351668,1.0,-2.2547181887484875,-370.0132186505167,2.0,2.0,0.0,0.0,2.0,100.0
2024-10,ZAYIF-BOGA,0.2389879823597313,3.2451099872266242,0.8538152274903319,1.0,8.702505253139597,1424.640903425735,3.0,1.0,2.0,0.0,3.0,33.333333333333336
2024-11,YATAY,0.14523733080991538,-3.141567932979883,1.179044355364634,1.0,1.7296850314052732,272.0220515723557,12.0,6.0,4.0,2.0,12.0,50.0
2024-12,YATAY,0.05814999100773375,-0.8066238407617221,1.0539145415600188,1.0,3.390839842631215,605.3556609153359,5.0,1.0,3.0,1.0,5.0,20.0
2025-01,BOGA,0.4717945113643737,6.652423905730975,0.7480869402430257,1.0,3.775442441808151,686.0645892778574,2.0,1.0,1.0,0.0,2.0,50.0
2025-02,YATAY,0.1597740333634368,2.105475709279747,1.0001503456924299,1.0,3.825457383110171,720.7444391176061,2.0,1.0,1.0,0.0,2.0,50.0
2025-03,BOGA,0.6082604236920138,9.217717338269038,0.9708917748208576,1.0,9.762204449926848,1984.3264724602682,2.0,0.0,2.0,0.0,2.0,0.0
2025-04,YATAY,0.14591941168025863,5.0576918508454805,1.7673963684501035,1.0,3.255206164148036,688.0469291182893,5.0,3.0,2.0,0.0,5.0,60.0
2025-05,YATAY,0.05655595891276574,1.6036676444374454,1.8733721514063664,1.0,-2.634506565619777,-593.6320997579733,5.0,4.0,1.0,0.0,5.0,80.0
2025-06,YATAY,0.003982076443060057,0.07139113003729047,1.2805234078738315,1.0,-8.522891118853932,-1800.1864639690693,9.0,7.0,0.0,2.0,9.0,77.77777777777777
2025-07,YATAY,0.10563770873686792,-1.4835786241246152,1.024654876044999,1.0,4.8730939895119,980.5115149302592,1.0,0.0,1.0,0.0,1.0,0.0
2025-08,ZAYIF-BOGA,0.23028554759666836,2.5356699405934657,0.9003047385657799,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09,BOGA,0.6743507748532871,11.032016706118043,1.0806567815403856,1.0,9.46034790192908,2001.8947723646343,11.0,5.0,4.0,2.0,11.0,45.45454545454545
2025-10,YATAY,0.0993711902562504,3.581001588076105,1.8825501158659315,1.0,13.909678747743332,3348.1147616792973,8.0,2.0,4.0,2.0,8.0,25.0
2025-11,ZAYIF-BOGA,0.26559576397060086,5.5054285824958304,1.7024816258097093,1.0,3.9230928699682446,985.9968736219982,7.0,5.0,2.0,0.0,7.0,71.42857142857143
2025-12,YATAY,0.14142306270465713,2.1628965227495467,1.0991895700018612,1.0,6.57981464992406,1792.1267701418444,5.0,3.0,2.0,0.0,5.0,60.0
2026-01,ZAYIF-BOGA,0.2832667493725896,12.588260053061262,1.639407239408983,1.0,14.585514358702682,4477.273109188826,11.0,3.0,7.0,1.0,11.0,27.272727272727273
2026-02,ZAYIF-BOGA,0.2699569721019162,11.296980331080642,3.526537385211977,1.0,-1.1187164346534297,-396.15156902036813,7.0,4.0,2.0,1.0,7.0,57.142857142857146
2026-03,AYI,0.49508442519113016,-16.6000655336584,2.5492159308468936,0.9259259259259259,-6.8699259351128035,-2222.8991223819576,7.0,6.0,0.0,1.0,7.0,85.71428571428571
2026-04,YATAY,0.11086240567537009,-3.288313768971196,2.531719270119407,1.0,-1.327872622973423,-428.40930920200503,6.0,4.0,2.0,0.0,6.0,66.66666666666667
2026-05,YATAY,0.06634025221147585,-1.6088017100901242,1.6553873493218385,0.6451612903225806,1.2993843566320982,395.43771465210204,3.0,0.0,1.0,2.0,0.0,0.0
2026-06,AYI,0.35748525349063015,-10.676889077697238,2.048948844547969,0.0,15.056277873652746,4936.527352351919,9.0,1.0,6.0,2.0,0.0,11.11111111111111
