s,entry,exit,r,px,sl,dir,conf,reason
fvg,2022-02-07 02:00:00,2022-02-09 13:00:00,4.6893,1809.58,1805.34,bull,EMA,tp
fvg,2022-02-07 01:35:00,2022-02-20 23:00:00,4.9282,1810.03,1790.87,bull,EMA,tp
fvg,2022-02-07 01:40:00,2022-02-20 23:00:00,4.9265,1809.55,1790.87,bull,EMA,tp
fvg,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0897503055701063,1905.72,1890.39,bull,EMA,sl
fvg,2022-02-22 01:10:00,2022-02-23 09:30:00,-1.0892264711017985,1905.82,1890.39,bull,EMA,sl
fvg,2022-02-22 01:20:00,2022-02-23 09:30:00,-1.0874803562074384,1906.12,1890.39,bull,EMA,sl
fib,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0898,1905.72,1890.39,bull,FIB618,sl
harmonic,2022-03-04 02:30:00,2022-03-08 06:55:00,4.913,1936.75,1920.36,bull,EMA+PRZ,tp
harmonic,2022-03-04 02:25:00,2022-03-08 14:35:00,4.9196,1938.17,1920.36,bull,EMA+PRZ,tp
fib,2022-03-04 15:00:00,2022-03-08 14:35:00,4.904761904761905,1946.38,1931.15,bull,FIB618,tp
harmonic,2022-03-04 02:20:00,2022-03-08 14:35:00,4.9149,1937.15,1920.36,bull,EMA+PRZ,tp
fvg,2022-03-04 14:40:00,2022-03-08 15:05:00,4.932310469314079,1952.85,1931.41,bull,EMA,tp
fvg,2022-03-04 14:55:00,2022-03-08 15:05:00,4.927888086642599,1951.47,1931.41,bull,EMA,tp
fvg,2022-03-04 14:35:00,2022-03-15 05:15:00,-1.051534296028881,1958.7,1931.41,bull,EMA,sl
harmonic,2022-03-21 07:30:00,2022-03-22 14:00:00,-1.166013071895425,1924.79,1916.4,bull,EMA+PRZ,sl
harmonic,2022-03-21 07:45:00,2022-03-22 14:00:00,-1.1601742919389977,1925.1,1916.4,bull,EMA+PRZ,sl
harmonic,2022-03-21 07:40:00,2022-03-22 14:00:00,-1.1670588235294117,1924.74,1916.4,bull,EMA+PRZ,sl
fvg,2022-03-24 12:35:00,2022-03-28 05:50:00,-1.1295620437956204,1946.29,1935.43,bull,EMA,sl
fvg,2022-03-24 12:30:00,2022-03-28 05:50:00,-1.144907100199071,1945.14,1935.43,bull,EMA,sl
fvg,2022-03-24 12:45:00,2022-03-28 05:50:00,-1.1301426675514266,1946.24,1935.43,bull,EMA,sl
harmonic,2022-04-08 18:05:00,2022-04-22 15:10:00,-1.0876828607549216,1942.77,1926.78,bull,EMA+PRZ,sl
harmonic,2022-04-08 17:30:00,2022-04-22 15:10:00,-1.1001444825717899,1940.72,1926.73,bull,EMA+PRZ,sl
harmonic,2022-04-08 17:20:00,2022-04-22 15:10:00,-1.0968033230991512,1941.21,1926.73,bull,EMA+PRZ,sl
harmonic,2022-05-04 07:00:00,2022-05-05 12:45:00,4.8273576097105515,1867.51,1859.65,bull,EMA+PRZ,tp
harmonic,2022-05-04 07:35:00,2022-05-09 10:20:00,-1.1263305322128851,1870.37,1859.65,bull,EMA+PRZ,sl
harmonic,2022-05-04 07:30:00,2022-05-09 10:20:00,-1.1258636788048553,1870.41,1859.65,bull,EMA+PRZ,sl
harmonic,2022-05-18 01:45:00,2022-05-19 12:35:00,-1.052521390861096,1812.49,1837.84,bear,EMA+PRZ,sl
harmonic,2022-05-18 01:40:00,2022-05-19 12:35:00,-1.0533406153286,1812.87,1837.84,bear,EMA+PRZ,sl
harmonic,2022-05-18 01:20:00,2022-05-19 12:35:00,-1.057254687784453,1814.57,1837.84,bear,EMA+PRZ,sl
harmonic,2022-05-31 01:00:00,2022-06-02 12:15:00,-1.1281255875164506,1847.87,1858.4,bear,EMA+PRZ,sl
harmonic,2022-05-31 00:55:00,2022-06-02 13:25:00,-1.0848843767625493,1846.63,1862.54,bear,EMA+PRZ,sl
harmonic,2022-05-31 00:35:00,2022-06-02 13:25:00,-1.0978567399887198,1848.73,1862.54,bear,EMA+PRZ,sl
harmonic,2022-06-09 19:55:00,2022-06-10 14:45:00,-1.1886058720591095,1847.31,1854.45,bear,EMA+PRZ,sl
harmonic,2022-06-09 19:30:00,2022-06-10 14:45:00,-1.2010499708341436,1847.75,1854.45,bear,EMA+PRZ,sl
harmonic,2022-06-09 19:25:00,2022-06-10 14:45:00,-1.201924946529263,1847.78,1854.45,bear,EMA+PRZ,sl
harmonic,2022-06-30 14:40:00,2022-07-06 13:50:00,4.871029545225371,1810.23,1820.4,bear,EMA+PRZ,tp
harmonic,2022-06-30 14:35:00,2022-07-06 14:10:00,4.8838358374508415,1809.14,1820.4,bear,EMA+PRZ,tp
fvg,2022-06-23 22:40:00,2022-07-14 13:35:00,4.947879100120214,1823.77,1848.24,bear,EMA,tp
fvg,2022-06-23 22:30:00,2022-07-14 13:40:00,4.94822256568779,1823.62,1848.24,bear,EMA,tp
fvg,2022-06-23 22:25:00,2022-07-14 13:45:00,4.948995363214838,1823.25,1848.24,bear,EMA,tp
fvg,2022-07-20 08:30:00,2022-07-21 15:00:00,-1.177943925233645,1707.81,1714.83,bear,EMA,sl
fvg,2022-07-20 08:40:00,2022-07-21 15:00:00,-1.1703925233644858,1707.5,1714.83,bear,EMA,sl
fvg,2022-07-20 08:50:00,2022-07-21 15:00:00,-1.1907289719626168,1708.28,1714.83,bear,EMA,sl
harmonic,2022-09-06 12:50:00,2022-09-08 07:00:00,-1.0934399117971334,1709.01,1722.42,bear,EMA+PRZ,sl
harmonic,2022-09-06 12:30:00,2022-09-08 07:00:00,-1.114939360529217,1711.51,1722.42,bear,EMA+PRZ,sl
harmonic,2022-09-06 12:55:00,2022-09-08 07:00:00,-1.0865490628445424,1707.94,1722.42,bear,EMA+PRZ,sl
fvg,2022-08-26 14:40:00,2022-09-15 14:50:00,4.920006201069685,1745.36,1760.65,bear,EMA,tp
fvg,2022-08-26 14:35:00,2022-09-15 14:50:00,4.91923106735912,1745.49,1760.65,bear,EMA,tp
fvg,2022-08-26 14:00:00,2022-09-15 14:50:00,4.920703821409194,1745.23,1760.65,bear,EMA,tp
fib,2022-08-26 14:00:00,2022-09-15 14:50:00,4.92068234387047,1745.23,1760.65,bear,FIB618,tp
threevol,2022-10-10 06:30:00,2022-10-10 07:10:00,-1.4259,1684.98,1687.87,bear,EMA+3VOL,sl
