s,entry,exit,r,px,sl,dir,conf,reason
fvg,2022-02-07 02:55:00,2022-02-08 19:05:00,4.6608,1809.22,1805.34,bull,EMA,tp
fvg,2022-02-07 02:00:00,2022-02-09 13:00:00,4.6893,1809.58,1805.34,bull,EMA,tp
fvg,2022-02-07 02:30:00,2022-02-09 16:40:00,4.7120999999999995,1809.92,1805.34,bull,EMA,tp
fvg,2022-02-07 02:15:00,2022-02-09 17:00:00,4.7269,1810.17,1805.34,bull,EMA,tp
fvg,2022-02-07 02:50:00,2022-02-09 17:25:00,4.7323,1810.27,1805.34,bull,EMA,tp
fvg,2022-02-07 01:35:00,2022-02-20 23:00:00,4.9282,1810.03,1790.87,bull,EMA,tp
fvg,2022-02-07 01:40:00,2022-02-20 23:00:00,4.9265,1809.55,1790.87,bull,EMA,tp
fvg,2022-02-22 03:00:00,2022-02-23 09:30:00,-1.0723496776128356,1909.4,1890.36,bull,EMA,sl
fvg,2022-02-22 02:40:00,2022-02-23 09:30:00,-1.0781976308292098,1907.94,1890.33,bull,EMA,sl
fvg,2022-02-22 02:30:00,2022-02-23 09:30:00,-1.079847053531264,1907.57,1890.33,bull,EMA,sl
fvg,2022-02-22 02:25:00,2022-02-23 09:30:00,-1.0760233918128657,1908.44,1890.33,bull,EMA,sl
fvg,2022-02-22 02:05:00,2022-02-23 09:30:00,-1.0829209776578197,1906.93,1890.33,bull,EMA,sl
fvg,2022-02-22 02:00:00,2022-02-23 09:30:00,-1.0748987854251013,1908.72,1890.33,bull,EMA,sl
fvg,2022-02-22 01:25:00,2022-02-23 09:30:00,-1.084570400359874,1906.66,1890.39,bull,EMA,sl
fvg,2022-02-22 01:50:00,2022-02-23 09:30:00,-1.0770730244414455,1908.25,1890.39,bull,EMA,sl
fvg,2022-02-22 01:45:00,2022-02-23 09:30:00,-1.0743739691108114,1908.9,1890.39,bull,EMA,sl
fvg,2022-02-22 03:05:00,2022-02-23 09:30:00,-1.0750487329434697,1908.71,1890.36,bull,EMA,sl
fvg,2022-02-22 01:20:00,2022-02-23 09:30:00,-1.0874943769680614,1906.12,1890.39,bull,EMA,sl
fvg,2022-02-22 01:10:00,2022-02-23 09:30:00,-1.0892187734292997,1905.82,1890.39,bull,EMA,sl
fvg,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0897435897435896,1905.72,1890.39,bull,EMA,sl
fvg,2022-02-22 01:55:00,2022-02-23 09:30:00,-1.0738491527965213,1909.04,1890.39,bull,EMA,sl
fib,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0898,1905.72,1890.39,bull,FIB618,sl
harmonic,2022-03-04 02:30:00,2022-03-08 06:55:00,4.913,1936.75,1920.36,bull,EMA+PRZ,tp
fvg,2022-03-04 15:00:00,2022-03-08 14:35:00,4.904778729794188,1946.38,1931.15,bull,EMA,tp
fib,2022-03-04 15:00:00,2022-03-08 14:35:00,4.904761904761905,1946.38,1931.15,bull,FIB618,tp
harmonic,2022-03-04 02:20:00,2022-03-08 14:35:00,4.9149,1937.15,1920.36,bull,EMA+PRZ,tp
harmonic,2022-03-04 02:25:00,2022-03-08 14:35:00,4.9196,1938.17,1920.36,bull,EMA+PRZ,tp
harmonic,2022-03-04 03:30:00,2022-03-08 14:40:00,4.9220999999999995,1938.91,1920.39,bull,EMA+PRZ,tp
harmonic,2022-03-04 02:55:00,2022-03-08 14:40:00,4.9225,1938.86,1920.36,bull,EMA+PRZ,tp
harmonic,2022-03-04 03:50:00,2022-03-08 14:45:00,4.9242,1939.46,1920.39,bull,EMA+PRZ,tp
harmonic,2022-03-04 03:40:00,2022-03-08 14:45:00,4.9244,1939.52,1920.39,bull,EMA+PRZ,tp
harmonic,2022-03-04 03:35:00,2022-03-08 14:45:00,4.9248,1939.62,1920.39,bull,EMA+PRZ,tp
harmonic,2022-03-04 03:25:00,2022-03-08 14:45:00,4.923500000000001,1939.28,1920.39,bull,EMA+PRZ,tp
harmonic,2022-03-04 03:15:00,2022-03-08 14:45:00,4.9266000000000005,1940.1,1920.39,bull,EMA+PRZ,tp
fvg,2022-03-04 14:40:00,2022-03-08 15:05:00,4.9323381326737925,1952.85,1931.41,bull,EMA,tp
harmonic,2022-03-04 03:20:00,2022-03-08 15:05:00,4.9292,1940.86,1920.39,bull,EMA+PRZ,tp
fvg,2022-03-04 14:55:00,2022-03-08 15:05:00,4.927921561699496,1951.47,1931.41,bull,EMA,tp
fvg,2022-03-04 14:35:00,2022-03-15 05:15:00,-1.051585548979772,1958.7,1931.41,bull,EMA,sl
harmonic,2022-03-21 07:30:00,2022-03-22 14:00:00,-1.1660179057999223,1924.79,1916.4,bull,EMA+PRZ,sl
harmonic,2022-03-21 07:55:00,2022-03-22 14:00:00,-1.1694563383936682,1924.62,1916.4,bull,EMA+PRZ,sl
harmonic,2022-03-21 07:50:00,2022-03-22 14:00:00,-1.1674451797067602,1924.72,1916.4,bull,EMA+PRZ,sl
harmonic,2022-03-21 07:45:00,2022-03-22 14:00:00,-1.1601141819125471,1925.1,1916.4,bull,EMA+PRZ,sl
harmonic,2022-03-21 07:40:00,2022-03-22 14:00:00,-1.1670559231867135,1924.74,1916.4,bull,EMA+PRZ,sl
fvg,2022-03-24 13:30:00,2022-03-28 05:50:00,-1.066956656827715,1956.13,1935.1,bull,EMA,sl
fvg,2022-03-24 13:25:00,2022-03-28 05:50:00,-1.0771322044430633,1953.35,1935.1,bull,EMA,sl
fvg,2022-03-24 13:05:00,2022-03-28 05:50:00,-1.111309616280876,1947.74,1935.1,bull,EMA,sl
fvg,2022-03-24 13:00:00,2022-03-28 05:50:00,-1.119154885816374,1946.91,1935.1,bull,EMA,sl
fvg,2022-03-24 12:55:00,2022-03-28 05:50:00,-1.1045518098493086,1948.89,1935.43,bull,EMA,sl
fvg,2022-03-24 12:35:00,2022-03-28 05:50:00,-1.1295634612397079,1946.29,1935.43,bull,EMA,sl
fvg,2022-03-24 12:45:00,2022-03-28 05:50:00,-1.130184868727668,1946.24,1935.43,bull,EMA,sl
fvg,2022-03-24 13:35:00,2022-03-28 05:50:00,-1.0687432033556004,1955.59,1935.1,bull,EMA,sl
fvg,2022-03-24 12:30:00,2022-03-28 05:50:00,-1.1448656206307284,1945.14,1935.43,bull,EMA,sl
fvg,2022-03-24 13:45:00,2022-03-28 05:50:00,-1.0886282429703278,1950.99,1935.1,bull,EMA,sl
fvg,2022-03-24 12:50:00,2022-03-28 05:50:00,-1.1270778312878669,1946.5,1935.43,bull,EMA,sl
fvg,2022-03-24 13:40:00,2022-03-28 05:50:00,-1.0792294547149293,1952.88,1935.1,bull,EMA,sl
fvg,2022-03-24 13:50:00,2022-03-28 05:50:00,-1.0852881777225414,1951.61,1935.1,bull,EMA,sl
fvg,2022-03-24 13:55:00,2022-03-28 05:50:00,-1.078452695354979,1953.05,1935.1,bull,EMA,sl
fvg,2022-03-24 14:15:00,2022-03-28 05:50:00,-1.0603542022681371,1958.33,1934.98,bull,EMA,sl
harmonic,2022-04-08 18:05:00,2022-04-22 15:10:00,-1.087696335078534,1942.77,1926.78,bull,EMA+PRZ,sl
harmonic,2022-04-08 18:35:00,2022-04-22 15:10:00,-1.0917608156516947,1942.06,1926.78,bull,EMA+PRZ,sl
harmonic,2022-04-08 18:55:00,2022-04-22 15:10:00,-1.0832874069991734,1943.62,1926.78,bull,EMA+PRZ,sl
harmonic,2022-04-08 18:30:00,2022-04-22 15:10:00,-1.0886607880958943,1942.59,1926.78,bull,EMA+PRZ,sl
harmonic,2022-04-08 17:30:00,2022-04-22 15:10:00,-1.100165334802976,1940.72,1926.73,bull,EMA+PRZ,sl
