s,entry,exit,r,px,sl,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 09:40:00,0.2594,1810.13,1805.77,8.083333333333334,time
fvg,2022-02-07 01:40:00,2022-02-07 09:45:00,0.45770000000000005,1809.65,1805.77,8.083333333333334,time
fib,2022-02-22 01:05:00,2022-02-22 01:15:00,0.013000000000000001,1905.82,1902.49,0.16666666666666666,time
fvg,2022-02-22 01:05:00,2022-02-22 08:30:00,-1.0298848292295473,1905.82,1902.49,7.416666666666667,sl
fvg,2022-02-22 01:10:00,2022-02-22 08:30:00,-1.0289912629070692,1905.92,1902.49,7.333333333333333,sl
harmonic,2022-03-04 02:20:00,2022-03-04 10:25:00,0.9813,1937.25,1931.25,8.083333333333334,time
harmonic,2022-03-04 02:25:00,2022-03-04 10:30:00,0.7475,1938.27,1931.25,8.083333333333334,time
fvg,2022-03-04 14:40:00,2022-03-04 15:00:00,-1.0240267639902676,1952.95,1948.76,0.3333333333333333,sl
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.010036496350365,1958.8,1948.76,0.4166666666666667,sl
harmonic,2022-03-21 07:40:00,2022-03-21 13:25:00,-1.0215275729873194,1924.84,1920.2,5.75,sl
harmonic,2022-03-21 07:30:00,2022-03-21 13:25:00,-1.0213309741472525,1924.89,1920.2,5.916666666666667,sl
threevol,2022-03-23 19:35:00,2022-03-24 02:05:00,-1.0334,1943.74,1940.73,6.5,sl
fvg,2022-03-24 12:30:00,2022-03-24 13:30:00,2.970923013245033,1945.24,1941.78,1.0,tp
fvg,2022-03-24 12:35:00,2022-03-24 14:25:00,2.978166390728477,1946.39,1941.78,1.8333333333333333,tp
fvg,2022-03-24 13:30:00,2022-03-24 21:35:00,0.09255351220982816,1956.23,1941.78,8.083333333333334,time
harmonic,2022-04-08 17:20:00,2022-04-09 01:30:00,1.0528850978424484,1941.31,1935.87,8.166666666666666,time
harmonic,2022-04-08 17:30:00,2022-04-09 01:35:00,1.2560963371801304,1940.82,1935.87,8.083333333333334,time
harmonic,2022-05-04 07:00:00,2022-05-04 12:25:00,-1.0251103482099069,1867.61,1863.69,5.416666666666667,sl
harmonic,2022-05-04 07:30:00,2022-05-04 12:25:00,-1.0144188327611574,1870.51,1863.69,4.916666666666667,sl
harmonic,2022-05-18 01:25:00,2022-05-18 03:15:00,2.941423851006308,1815.03,1816.86,1.8333333333333333,tp
harmonic,2022-05-18 01:20:00,2022-05-18 08:15:00,-1.0406528487033144,1814.47,1816.86,6.916666666666667,sl
harmonic,2022-05-19 05:55:00,2022-05-19 08:45:00,-1.0211260685860273,1813.92,1818.52,2.8333333333333335,sl
harmonic,2022-05-19 06:00:00,2022-05-19 08:45:00,-1.0188660705512431,1813.38,1818.52,2.75,sl
harmonic,2022-05-31 00:55:00,2022-05-31 03:00:00,-1.0159494432741498,1846.53,1852.68,2.0833333333333335,sl
harmonic,2022-05-31 00:35:00,2022-05-31 03:00:00,-1.024275253285184,1848.63,1852.68,2.4166666666666665,sl
harmonic,2022-06-09 19:25:00,2022-06-10 03:30:00,0.8194757321318862,1847.68,1850.76,8.083333333333334,time
harmonic,2022-06-09 19:30:00,2022-06-10 03:35:00,0.7408355519148064,1847.65,1850.76,8.083333333333334,time
fvg,2022-06-23 22:10:00,2022-06-24 06:15:00,0.16286104605776738,1824.54,1828.19,8.083333333333334,time
fvg,2022-06-23 22:30:00,2022-06-24 06:35:00,-0.1168032786885246,1823.52,1828.19,8.083333333333334,time
harmonic,2022-06-30 14:40:00,2022-06-30 15:55:00,-1.0291389393022785,1810.13,1813.46,1.25,sl
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.0219802379511997,1809.04,1813.46,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.0240905100946065,1738.13,1742.09,1.8333333333333333,sl
fvg,2022-07-06 17:30:00,2022-07-06 19:15:00,-1.0274066126987222,1738.61,1742.09,1.75,sl
fvg,2022-07-20 08:35:00,2022-07-20 09:25:00,-1.0322644891455885,1707.21,1710.14,0.8333333333333334,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.0388368850826528,1707.71,1710.14,0.9166666666666666,sl
fvg,2022-07-21 00:00:00,2022-07-21 08:05:00,1.4940004067520845,1694.18,1697.99,8.083333333333334,time
fvg,2022-07-21 00:05:00,2022-07-21 08:10:00,1.353772625584706,1693.97,1697.99,8.083333333333334,time
fib,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.00999900009999,1745.13,1754.68,0.16666666666666666,sl
fvg,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.0099861578010678,1745.13,1754.68,0.16666666666666666,sl
fvg,2022-08-26 14:20:00,2022-08-26 16:05:00,2.981422293248102,1749.54,1754.68,1.75,tp
fvg,2022-08-26 14:25:00,2022-08-26 22:30:00,1.0386536156612065,1746.22,1754.68,8.083333333333334,time
harmonic,2022-09-06 12:30:00,2022-09-06 16:55:00,2.972722593926917,1711.41,1714.87,4.416666666666667,tp
harmonic,2022-09-06 12:50:00,2022-09-06 20:55:00,1.1556356150283067,1708.91,1714.87,8.083333333333334,time
threevol,2022-10-10 06:30:00,2022-10-10 07:10:00,-1.0314236637364858,1684.88,1687.87,0.6666666666666666,sl
harmonic,2022-10-13 12:30:00,2022-10-13 20:35:00,-0.39926848556741795,1658.61,1678.65,8.083333333333334,time
harmonic,2022-10-13 12:35:00,2022-10-13 20:40:00,-0.4506722024515619,1655.97,1678.65,8.083333333333334,time
threevol,2022-10-14 15:15:00,2022-10-14 23:20:00,0.3120980091883614,1645.19,1649.93,8.083333333333334,time
harmonic,2022-10-18 14:00:00,2022-10-18 22:05:00,0.2823529411764706,1653.3,1658.29,8.083333333333334,time
harmonic,2022-10-18 14:05:00,2022-10-18 22:10:00,0.13260219341974078,1653.17,1658.29,8.083333333333334,time
fvg,2022-11-03 02:15:00,2022-11-03 07:05:00,2.9512241958713394,1638.51,1640.61,4.833333333333333,tp
fvg,2022-11-03 02:10:00,2022-11-03 07:10:00,2.9621699471915504,1637.9,1640.61,5.0,tp
threevol,2022-11-07 07:20:00,2022-11-07 08:10:00,-1.0309414758269722,1667.62,1670.64,0.8333333333333334,sl
fib,2022-11-15 13:30:00,2022-11-15 13:40:00,-0.6201010101010102,1785.49,1772.72,0.16666666666666666,time
fvg,2022-11-15 13:40:00,2022-11-15 14:30:00,-1.0202175883952855,1777.47,1772.72,0.8333333333333334,sl
